,No,Japanese,English,German,French,Korean,Simplified Chinese,Traditional Chinese,Generation,Form,H,A,B,C,D,S,Ability1,Ability2,Ability3,Type1,Type2,Weight,Evolve Flag,GalarPokedex,PaldeaPokedex
0,1,フシギダネ,Bulbasaur,Bisasam,Bulbizarre,이상해씨,妙蛙种子,妙蛙種子,1,-,45.0,49.0,49.0,65.0,65.0,45.0,しんりょく,-,ようりょくそ,くさ,どく,6.9,0,1,0
1,2,フシギソウ,Ivysaur,Bisaknosp,Herbizarre,이상해풀,妙蛙草,妙蛙草,1,-,60.0,62.0,63.0,80.0,80.0,60.0,しんりょく,-,ようりょくそ,くさ,どく,13.0,0,1,0
2,3,フシギバナ,Venusaur,Bisaflor,Florizarre,이상해꽃,妙蛙花,妙蛙花,1,-,80.0,82.0,83.0,100.0,100.0,80.0,しんりょく,-,ようりょくそ,くさ,どく,100.0,1,1,0
3,3,メガフシギバナ,Venusaur,Bisaflor,Florizarre,이상해꽃,妙蛙花,妙蛙花,6,メガシンカ,80.0,100.0,123.0,122.0,120.0,80.0,あついしぼう,-,-,くさ,どく,155.5,1,0,0
4,4,ヒトカゲ,Charmander,Glumanda,Salameche,파이리,小火龙,小火龍,1,-,39.0,52.0,43.0,60.0,50.0,65.0,もうか,-,サンパワー,ほのお,-,8.5,0,1,1
5,5,リザード,Charmeleon,Glutexo,Reptincel,리자드,火恐龙,火恐龍,1,-,58.0,64.0,58.0,80.0,65.0,80.0,もうか,-,サンパワー,ほのお,-,19.0,0,1,1
6,6,リザードン,Charizard,Glurak,Dracaufeu,리자몽,喷火龙,噴火龍,1,-,78.0,84.0,78.0,109.0,85.0,100.0,もうか,-,サンパワー,ほのお,ひこう,100.5,1,1,1
7,6,メガリザードンX,Charizard,Glurak,Dracaufeu,리자몽,喷火龙,噴火龍,6,メガシンカX,78.0,130.0,111.0,130.0,85.0,100.0,かたいツメ,-,-,ほのお,ドラゴン,110.5,1,0,0
8,6,メガリザードンY,Charizard,Glurak,Dracaufeu,리자몽,喷火龙,噴火龍,6,メガシンカY,78.0,104.0,78.0,159.0,115.0,100.0,ひでり,-,-,ほのお,ひこう,100.5,1,0,0
9,7,ゼニガメ,Squirtle,Schiggy,Carapuce,꼬부기,杰尼龟,傑尼龜,1,-,44.0,48.0,65.0,50.0,64.0,43.0,げきりゅう,-,あめうけざら,みず,-,9.0,0,1,0
10,8,カメール,Wartortle,Schillok,Carabaffe,어니부기,卡咪龟,卡咪龜,1,-,59.0,63.0,80.0,65.0,80.0,58.0,げきりゅう,-,あめうけざら,みず,-,22.5,0,1,0
11,9,カメックス,Blastoise,Turtok,Tortank,거북왕,水箭龟,水箭龜,1,-,79.0,83.0,100.0,85.0,105.0,78.0,げきりゅう,-,あめうけざら,みず,-,85.5,1,1,0
12,9,メガカメックス,Blastoise,Turtok,Tortank,거북왕,水箭龟,水箭龜,6,メガシンカ,79.0,103.0,120.0,135.0,115.0,78.0,メガランチャー,-,-,みず,-,101.1,1,0,0
13,10,キャタピー,Caterpie,Raupy,Chenipan,캐터피,绿毛虫,綠毛蟲,1,-,45.0,30.0,35.0,20.0,20.0,45.0,りんぷん,-,にげあし,むし,-,2.9,0,1,0
14,11,トランセル,Metapod,Safcon,Chrysacier,단데기,铁甲蛹,鐵甲蛹,1,-,50.0,20.0,55.0,25.0,25.0,30.0,だっぴ,-,-,むし,-,9.9,0,1,0
15,12,バタフリー,Butterfree,Smettbo,Papilusion,버터플,巴大蝶,巴大蝶,1,-,60.0,45.0,50.0,90.0,80.0,70.0,ふくがん,-,いろめがね,むし,ひこう,32.0,1,1,0
16,13,ビードル,Weedle,Hornliu,Aspicot,뿔충이,独角虫,獨角蟲,1,-,40.0,35.0,30.0,20.0,20.0,50.0,りんぷん,-,にげあし,むし,どく,3.2,0,0,0
17,14,コクーン,Kakuna,Kokuna,Coconfort,딱충이,铁壳蛹,鐵殼蛹,1,-,45.0,25.0,50.0,25.0,25.0,35.0,だっぴ,-,-,むし,どく,10.0,0,0,0
18,15,スピアー,Beedrill,Bibor,Dardagnan,독침붕,大针蜂,大針蜂,1,-,65.0,90.0,40.0,45.0,80.0,75.0,むしのしらせ,-,スナイパー,むし,どく,129.5,1,0,0
19,15,メガスピアー,Beedrill,Bibor,Dardagnan,독침붕,大针蜂,大針蜂,6,メガシンカ,65.0,150.0,40.0,15.0,80.0,145.0,てきおうりょく,-,-,むし,どく,40.5,1,0,0
