,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
1,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
2,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
3,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
4,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
5,1,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
6,1,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
7,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
8,1,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
9,1,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
10,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['qwilfish', 'espeon', 'farigiraf', 'polteageist', 'gholdengo', 'bronzong']"
11,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['qwilfish', 'espeon', 'farigiraf', 'polteageist', 'gholdengo', 'bronzong']"
12,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['qwilfish', 'espeon', 'farigiraf', 'polteageist', 'gholdengo', 'bronzong']"
13,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['qwilfish', 'espeon', 'farigiraf', 'polteageist', 'gholdengo', 'bronzong']"
14,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
15,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
16,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
17,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
18,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
19,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
20,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
21,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
22,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
23,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['fluttermane', 'kingambit', 'amoonguss', 'gothitelle', 'abomasnow', 'ironbundle']"
24,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
25,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['fluttermane', 'kingambit', 'amoonguss', 'gothitelle', 'abomasnow', 'ironbundle']"
26,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
27,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['fluttermane', 'kingambit', 'amoonguss', 'gothitelle', 'abomasnow', 'ironbundle']"
28,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
29,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['fluttermane', 'kingambit', 'amoonguss', 'gothitelle', 'abomasnow', 'ironbundle']"
30,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
31,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['fluttermane', 'kingambit', 'amoonguss', 'gothitelle', 'abomasnow', 'ironbundle']"
32,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,2,0,0,123,83.83333333333333,35,0,0,0,0,0,"['skeledirge', 'meowscarada', 'garganacl', 'rotomwash', 'murkrow', 'garchomp']"
33,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,2,0,0,123,83.83333333333333,35,0,0,0,0,0,"['skeledirge', 'meowscarada', 'garganacl', 'rotomwash', 'murkrow', 'garchomp']"
34,1,1,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
35,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
36,1,1,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
37,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
38,1,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
39,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
40,1,1,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
41,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
42,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
43,1,1,0,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,136,91.0,30,0,0,0,0,0,"['ironhands', 'fluttermane', 'amoonguss', 'palafin', 'arcanine', 'ironbundle']"
44,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
45,1,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
46,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
47,1,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
48,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
49,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
50,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
51,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
52,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
53,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['persian', 'arcanine', 'hydreigon', 'mimikyu', 'dragalge', 'electrode']"
55,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
56,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
57,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
58,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
59,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
60,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
