,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
1,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
2,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
3,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
4,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
5,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
6,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
7,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
8,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
9,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
10,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
11,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
12,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,135,93.33333333333333,30,0,0,0,0,0,"['Amoonguss', 'Grimmsnarl', 'Chien-Pao', 'Palafin', 'Flutter Mane', 'Tauros-Paldea-Blaze']"
13,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,135,93.33333333333333,30,0,0,0,0,0,"['Amoonguss', 'Grimmsnarl', 'Chien-Pao', 'Palafin', 'Flutter Mane', 'Tauros-Paldea-Blaze']"
14,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
15,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
16,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
17,1,1,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
18,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
19,0,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,1,110,84.83333333333333,20,0,0,0,0,0,"['Clodsire', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
20,1,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,1,110,84.83333333333333,20,0,0,0,0,0,"['Clodsire', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
21,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Grumpig']"
22,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Grumpig']"
23,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Grumpig']"
