,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
1,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
2,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
3,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
4,1,1,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
5,0,0,1,2,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,111,68.83333333333333,20,0,0,0,0,0,"['Torkoal', 'Maushold-Four', 'Corviknight', 'Scovillain', 'Breloom', 'Cloyster']"
6,0,0,1,2,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,111,68.83333333333333,20,0,0,0,0,0,"['Torkoal', 'Maushold-Four', 'Corviknight', 'Scovillain', 'Breloom', 'Cloyster']"
7,0,0,1,2,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,111,68.83333333333333,20,0,0,0,0,0,"['Torkoal', 'Maushold-Four', 'Corviknight', 'Scovillain', 'Breloom', 'Cloyster']"
8,0,0,1,2,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,111,68.83333333333333,20,0,0,0,0,0,"['Torkoal', 'Maushold-Four', 'Corviknight', 'Scovillain', 'Breloom', 'Cloyster']"
9,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['Mimikyu', 'Garganacl', 'Iron Hands', 'Roaring Moon', 'Amoonguss', 'Iron Bundle']"
10,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
11,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
12,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
13,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
14,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
15,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
16,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,130,90.16666666666667,30,0,0,0,0,0,"['Amoonguss', 'Cyclizar', 'Salamence', 'Sylveon', 'Jolteon', 'Palafin']"
17,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
