,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
1,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
2,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
3,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
4,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
5,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
6,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
7,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
8,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
9,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
10,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
11,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
12,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
13,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
14,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
15,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
16,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
17,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
18,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
19,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
20,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
21,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
22,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
23,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,135,82.0,30,0,0,0,0,0,"['Arcanine', 'Baxcalibur', 'Flutter Mane', 'Palafin', 'Amoonguss', 'Ting-Lu']"
24,1,0,1,0,1,0,0,0,2,2,0,1,0,0,0,0,0,1,0,1,120,87.16666666666667,35,0,1,0,0,1,"['Slaking', 'Weezing', 'Clefairy', 'Tornadus', 'Urshifu', 'Sneasler']"
25,1,1,2,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,2,109,72.0,43,0,0,0,0,1,"['Weezing-Galar', 'Slaking', 'Farigiraf', 'Vikavolt', 'Empoleon', 'Ninetales-Alola']"
26,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,90,65.83333333333333,45,0,0,0,0,1,"['Kingambit', 'Rillaboom', 'Arcanine-Hisui', 'Ting-Lu', 'Clefable', 'Vaporeon']"
27,0,0,1,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,119,91.66666666666667,60,0,0,0,0,0,"['Weezing', 'Ogerpon-Wellspring', 'Landorus-Therian', 'Roaring Moon', 'Slaking', 'Sinistcha']"
28,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['Basculegion', 'Politoed', 'Rillaboom', 'Flutter Mane', 'Kingambit', 'Regieleki']"
29,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['Basculegion', 'Politoed', 'Rillaboom', 'Flutter Mane', 'Kingambit', 'Regieleki']"
30,1,0,0,4,0,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,142,103.66666666666667,75,0,0,0,0,0,"['Scovillain', 'Dragapult', 'Cinderace', 'Slither Wing', 'Typhlosion-Hisui', 'Iron Moth']"
31,0,0,0,1,1,1,0,0,1,0,1,2,1,0,0,1,0,0,1,1,111,98.33333333333333,77,0,0,0,0,2,"['Annihilape', 'Ogerpon-Wellspring', 'Tornadus', 'Landorus-Therian', 'Scream Tail', 'Heatran']"
32,1,0,0,1,2,1,1,0,2,0,0,1,0,0,1,1,0,1,1,0,111,90.33333333333333,50,0,1,0,0,1,"['Tornadus', 'Arcanine-Hisui', 'Iron Hands', 'Gholdengo', 'Urshifu', 'Ogerpon-Wellspring']"
33,0,0,0,0,2,1,0,1,1,0,1,2,0,0,0,2,0,1,1,0,136,103.16666666666667,84,0,1,0,0,1,"['Tornadus', 'Landorus', 'Iron Bundle', 'Gholdengo', 'Brambleghast', 'Urshifu']"
34,1,0,0,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,111,94.66666666666667,84,0,1,0,0,1,"['Tornadus', 'Landorus', 'Urshifu', 'Rillaboom', 'Arcanine-Hisui', 'Gholdengo']"
35,1,1,0,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,111,94.66666666666667,84,0,1,0,0,1,"['Tornadus', 'Landorus', 'Urshifu', 'Rillaboom', 'Arcanine-Hisui', 'Gholdengo']"
36,1,0,0,0,1,0,1,0,6,0,0,0,1,0,0,1,1,0,0,1,116,86.83333333333333,50,0,0,0,0,1,"['Iron Hands', 'Annihilape', 'Kommo-o', 'Iron Valiant', 'Tauros-Paldea-Aqua', 'Gallade']"
37,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,135,94.16666666666667,50,0,0,0,0,0,"['Weezing', 'Flutter Mane', 'Ogerpon-Wellspring', 'Landorus-Therian', 'Roaring Moon', 'Iron Hands']"
38,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,100,59.166666666666664,30,0,0,0,0,0,"['Mudsdale', 'Glastrier', 'Farigiraf', 'Palafin', 'Lurantis', 'Illumise']"
39,1,0,0,1,1,2,1,0,1,1,1,1,0,0,0,1,0,0,1,1,135,82.16666666666667,30,0,0,0,0,0,"['Flutter Mane', 'Landorus-Therian', 'Heatran', 'Iron Hands', 'Ogerpon-Wellspring', 'Amoonguss']"
40,1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1,109,91.5,77,0,0,0,0,1,"['Mienshao', 'Ninetales-Alola', 'Baxcalibur', 'Milotic', 'Moltres-Galar', 'Heatran']"
41,0,0,0,0,1,2,0,0,1,1,1,1,1,0,0,2,0,0,0,1,135,90.16666666666667,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Flutter Mane', 'Landorus-Therian', 'Amoonguss', 'Ogerpon-Wellspring']"
42,0,0,1,0,1,1,2,0,1,0,0,1,1,0,0,0,1,2,1,0,119,81.5,50,0,0,0,0,1,"['Zapdos', 'Iron Hands', 'Farigiraf', 'Ogerpon-Wellspring', 'Roaring Moon', 'Kingambit']"
43,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,136,99.5,50,0,0,1,0,0,"['Chi-Yu', 'Iron Bundle', 'Rillaboom', 'Landorus-Therian', 'Iron Hands', 'Flutter Mane']"
44,1,0,1,1,2,1,0,1,2,0,0,0,1,0,0,1,0,2,0,0,136,80.33333333333333,25,0,0,0,0,0,"['Chesnaught', 'Farigiraf', 'Urshifu', 'Dusclops', 'Chi-Yu', 'Iron Bundle']"
45,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,3,1,1,111,91.66666666666667,60,0,1,0,0,1,"['Tornadus', 'Urshifu', 'Grimmsnarl', 'Hydreigon', 'Palafin', 'Gholdengo']"
46,0,0,0,1,1,1,1,0,2,1,0,1,0,0,1,1,0,1,1,0,111,77.0,30,0,1,0,0,1,"['Arcanine-Hisui', 'Amoonguss', 'Tornadus', 'Urshifu', 'Iron Hands', 'Gholdengo']"
47,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,1,2,135,80.5,35,0,0,0,0,0,"['Ninetales-Alola', 'Beartic', 'Chien-Pao', 'Sinistcha', 'Clefairy', 'Gholdengo']"
48,1,1,0,1,1,1,1,0,1,1,0,2,0,0,1,0,0,2,0,0,110,81.33333333333333,50,0,0,0,0,0,"['Ogerpon-Wellspring', 'Eelektross', 'Okidogi', 'Carkol', 'Moltres-Galar', 'Iron Jugulis']"
49,1,1,1,0,1,0,0,0,0,1,2,1,2,0,0,1,0,1,1,0,106,72.66666666666667,45,0,0,0,0,1,"['Kingambit', 'Landorus-Therian', 'Ursaluna-Bloodmoon', 'Dusknoir', 'Munkidori', 'Bruxish']"
50,1,1,1,0,1,0,0,0,0,1,2,1,2,0,0,1,0,1,1,0,106,72.66666666666667,45,0,0,0,0,1,"['Kingambit', 'Landorus-Therian', 'Ursaluna-Bloodmoon', 'Dusknoir', 'Munkidori', 'Bruxish']"
51,1,1,1,0,0,0,1,0,1,1,0,0,1,1,2,2,0,0,0,0,110,65.5,35,0,0,0,0,1,"['Houndstone', 'Rabsca', 'Garganacl', 'Golem-Alola', 'Annihilape', 'Grafaiai']"
52,1,1,2,1,1,0,2,0,0,0,2,0,1,1,1,0,0,0,0,0,101,58.0,20,0,0,0,0,0,"['Drednaw', 'Sandy Shocks', 'Torkoal', 'Vikavolt', 'Oranguru', 'Ursaluna']"
53,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,100,77.16666666666667,25,0,0,0,0,0,"['Overqwil', 'Dusclops', 'Goodra-Hisui', 'Zapdos', 'Basculin-Blue-Striped', 'Dachsbun']"
54,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,1,2,135,80.5,35,0,0,0,0,0,"['Ninetales-Alola', 'Beartic', 'Chien-Pao', 'Sinistcha', 'Clefairy', 'Gholdengo']"
55,1,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,1,0,1,0,130,93.66666666666667,60,0,0,0,0,0,"['Goodra', 'Landorus', 'Jolteon', 'Magnezone', 'Tornadus-Therian', 'Politoed']"
