,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
1,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
2,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
3,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
4,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
5,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
6,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
7,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
8,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
9,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
10,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
11,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Landorus-Therian', 'Scream Tail', 'Azumarill', 'Slowbro-Galar']"
