,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
2,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
3,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
4,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
5,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
6,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
7,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
8,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
9,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
10,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
11,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['Annihilape', 'Cresselia', 'Garchomp', 'Volcarona', 'Persian-Alola', 'Glastrier']"
12,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
13,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
14,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
15,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
16,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
17,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
18,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
19,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
20,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
21,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
22,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
23,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
24,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
25,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
