,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
1,1,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
2,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
4,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
5,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
6,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
7,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
8,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
9,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
10,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
11,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
12,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
13,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
14,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,1,0,0,0,0,"['Dragonite', 'Chien-Pao', 'Gholdengo', 'Maushold-Four', 'Flutter Mane', 'Iron Bundle']"
15,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
16,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,1,0,0,0,0,"['Dragonite', 'Chien-Pao', 'Gholdengo', 'Maushold-Four', 'Flutter Mane', 'Iron Bundle']"
