,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
2,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
3,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
4,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
5,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
6,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
7,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
8,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
9,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
10,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
11,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
12,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
13,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
14,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
15,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,110,89.83333333333333,50,0,0,0,0,1,"['Kingambit', 'Dragonite', 'Slaking', 'Grafaiai', 'Espathra', 'Tinkaton']"
16,1,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,0,"['Azumarill', 'Decidueye-Hisui', 'Chi-Yu', 'Landorus', 'Sableye', 'Sinistcha-Masterpiece']"
17,1,0,0,1,1,1,1,0,1,1,0,1,0,2,0,0,1,1,1,0,97,66.33333333333333,30,0,0,0,0,0,"['Regidrago', 'Amoonguss', 'Moltres', 'Urshifu', 'Charjabug', 'Scizor']"
18,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,0,"['Amoonguss', 'Ursaluna', 'Iron Bundle', 'Regidrago', 'Cresselia', 'Iron Hands']"
19,0,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,1,2,136,94.0,51,0,0,0,0,1,"['Iron Bundle', 'Ninetales-Alola', 'Annihilape', 'Tropius', 'Heatran', 'Dedenne']"
20,1,0,0,0,2,1,1,0,1,0,2,2,0,0,0,0,0,1,1,1,111,83.0,39,0,0,0,0,1,"['Urshifu', 'Rillaboom', 'Landorus-Therian', 'Gastrodon-East', 'Thundurus', 'Klefki']"
