,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
1,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
2,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
3,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
4,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
5,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
6,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
7,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
8,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
9,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['Murkrow', 'Rotom-Fan', 'Gyarados', 'Enamorus', 'Braviary', 'Landorus']"
