,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
2,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
3,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1,1,0,130,91.83333333333333,30,0,0,0,0,1,"['Bisharp', 'Jolteon', 'Amoonguss', 'Palafin', 'Salamence', 'Cyclizar']"
4,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
5,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
6,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
7,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
8,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,2,2,2,0,122,78.5,50,0,0,0,0,1,"['Greninja-*', 'Kingambit', 'Goodra-Hisui', 'Garchomp', 'Great Tusk', 'Iron Hands']"
9,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,2,2,2,0,122,78.5,50,0,0,0,0,1,"['Greninja-*', 'Kingambit', 'Goodra-Hisui', 'Garchomp', 'Great Tusk', 'Iron Hands']"
10,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,2,2,2,0,122,78.5,50,0,0,0,0,1,"['Greninja-*', 'Kingambit', 'Goodra-Hisui', 'Garchomp', 'Great Tusk', 'Iron Hands']"
11,1,1,0,1,3,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,136,95.66666666666667,35,0,0,1,0,0,"['Dondozo', 'Tatsugiri', 'Chi-Yu', 'Iron Bundle', 'Flutter Mane', 'Glimmora']"
12,1,1,0,1,3,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,136,95.66666666666667,35,0,0,1,0,0,"['Dondozo', 'Tatsugiri', 'Chi-Yu', 'Iron Bundle', 'Flutter Mane', 'Glimmora']"
13,1,1,0,1,3,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,136,95.66666666666667,35,0,0,1,0,0,"['Dondozo', 'Tatsugiri', 'Chi-Yu', 'Iron Bundle', 'Flutter Mane', 'Glimmora']"
