,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['Dragonite', 'Tinkaton', 'Espathra', 'Kingambit', 'Rotom', 'Clodsire']"
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['Dragonite', 'Tinkaton', 'Espathra', 'Kingambit', 'Rotom', 'Clodsire']"
2,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['Dragonite', 'Tinkaton', 'Espathra', 'Kingambit', 'Rotom', 'Clodsire']"
3,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['Dragonite', 'Tinkaton', 'Espathra', 'Kingambit', 'Rotom', 'Clodsire']"
4,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['Lilligant', 'Torkoal', 'Flutter Mane', 'Kingambit', 'Dragonite', 'Great Tusk']"
5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['Lilligant', 'Torkoal', 'Flutter Mane', 'Kingambit', 'Dragonite', 'Great Tusk']"
6,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['Lilligant', 'Torkoal', 'Flutter Mane', 'Kingambit', 'Dragonite', 'Great Tusk']"
7,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['Lilligant', 'Torkoal', 'Flutter Mane', 'Kingambit', 'Dragonite', 'Great Tusk']"
8,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['Lilligant', 'Torkoal', 'Flutter Mane', 'Kingambit', 'Dragonite', 'Great Tusk']"
9,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['Lilligant', 'Torkoal', 'Flutter Mane', 'Kingambit', 'Dragonite', 'Great Tusk']"
10,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Orthworm']"
11,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Orthworm']"
12,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Orthworm']"
13,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['Dondozo', 'Tatsugiri', 'Gengar', 'Salazzle', 'Clawitzer', 'Orthworm']"
14,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,0,1,135,86.66666666666667,30,1,0,0,0,0,"['Chien-Pao', 'Amoonguss', 'Dragonite', 'Arcanine', 'Ting-Lu', 'Flutter Mane']"
15,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,0,1,135,86.66666666666667,30,1,0,0,0,0,"['Chien-Pao', 'Amoonguss', 'Dragonite', 'Arcanine', 'Ting-Lu', 'Flutter Mane']"
16,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,0,1,135,86.66666666666667,30,1,0,0,0,0,"['Chien-Pao', 'Amoonguss', 'Dragonite', 'Arcanine', 'Ting-Lu', 'Flutter Mane']"
17,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,2,0,0,123,83.83333333333333,35,0,0,0,0,0,"['Skeledirge', 'Meowscarada', 'Garganacl', 'Rotom-Wash', 'Murkrow', 'Garchomp']"
18,1,1,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,135,99.66666666666667,60,0,1,0,0,1,"['Rillaboom', 'Flutter Mane', 'Ogerpon-Hearthflame', 'Tornadus', 'Urshifu', 'Weezing']"
19,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,110,74.33333333333333,50,0,0,0,0,0,"['Muk-Alola', 'Heatran', 'Tinkaton', 'Ogerpon-Wellspring', 'Dudunsparce-*', 'Oranguru']"
20,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,101,82.0,50,0,0,0,0,0,"['Sableye', 'Landorus', 'Luvdisc', 'Magikarp']"
21,1,1,0,1,1,1,0,1,1,0,0,0,0,0,2,1,1,1,0,1,136,98.66666666666667,61,0,0,0,0,0,"['Kommo-o', 'Tyranitar', 'Rillaboom', 'Flutter Mane', 'Arcanine-Hisui', 'Iron Bundle']"
22,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,2,2,0,0,1,136,102.16666666666667,70,0,0,0,0,0,"['Dragonite', 'Garchomp', 'Flutter Mane', 'Sinistcha', 'Iron Bundle', 'Arcanine-Hisui']"
23,0,0,2,2,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,105,69.16666666666667,20,0,0,0,1,0,"['Regidrago', 'Indeedee-F', 'Armarouge', 'Ursaluna', 'Torkoal', 'Lilligant-Hisui']"
24,1,1,2,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,110,81.16666666666667,60,0,0,0,1,0,"['Ogerpon-Hearthflame', 'Urshifu', 'Sylveon', 'Oranguru', 'Armarouge', 'Indeedee-F']"
