,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
2,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
3,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,1,0,0,0,0,"['Orthworm', 'Ting-Lu', 'Dragonite', 'Gyarados', 'Flutter Mane', 'Chien-Pao']"
4,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
5,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
6,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
7,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
8,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
9,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['Great Tusk', 'Oranguru', 'Iron Hands', 'Torkoal', 'Kingambit', 'Amoonguss']"
10,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['Great Tusk', 'Oranguru', 'Iron Hands', 'Torkoal', 'Kingambit', 'Amoonguss']"
11,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['Great Tusk', 'Oranguru', 'Iron Hands', 'Torkoal', 'Kingambit', 'Amoonguss']"
12,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['Great Tusk', 'Oranguru', 'Iron Hands', 'Torkoal', 'Kingambit', 'Amoonguss']"
13,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['Mimikyu', 'Garganacl', 'Iron Hands', 'Roaring Moon', 'Amoonguss', 'Iron Bundle']"
14,1,0,0,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,136,91.0,30,0,0,0,0,0,"['Iron Hands', 'Flutter Mane', 'Amoonguss', 'Palafin', 'Arcanine', 'Iron Bundle']"
15,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['Great Tusk', 'Oranguru', 'Iron Hands', 'Torkoal', 'Kingambit', 'Amoonguss']"
16,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['Great Tusk', 'Oranguru', 'Iron Hands', 'Torkoal', 'Kingambit', 'Amoonguss']"
17,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
18,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
19,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
20,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['Garchomp', 'Gholdengo', 'Talonflame', 'Chien-Pao', 'Maushold', 'Iron Hands']"
21,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,135,93.33333333333333,30,0,0,0,0,0,"['Amoonguss', 'Grimmsnarl', 'Chien-Pao', 'Palafin', 'Flutter Mane', 'Tauros-Paldea-Blaze']"
22,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,135,93.33333333333333,30,0,0,0,0,0,"['Amoonguss', 'Grimmsnarl', 'Chien-Pao', 'Palafin', 'Flutter Mane', 'Tauros-Paldea-Blaze']"
23,1,1,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
24,1,1,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
25,1,1,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
26,1,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
27,1,1,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['Gothitelle', 'Scream Tail', 'Palafin', 'Wo-Chien', 'Volcarona', 'Glimmora']"
28,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
29,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
30,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
31,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
32,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
33,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
34,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
35,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
36,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,135,82.0,30,0,0,0,0,0,"['Arcanine', 'Baxcalibur', 'Flutter Mane', 'Palafin', 'Amoonguss', 'Ting-Lu']"
37,0,0,0,2,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,91,64.33333333333333,20,0,0,0,0,0,"['Sableye', 'Iron Hands', 'Arcanine-Hisui', 'Rillaboom', 'Landorus-Therian', 'Torkoal']"
38,0,0,1,1,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,85,54.666666666666664,29,0,0,0,1,0,"['Indeedee-F', 'Armarouge', 'Hatterene', 'Azumarill', 'Amoonguss', 'Clawitzer']"
39,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['Ogerpon-Wellspring', 'Tauros-Paldea-Blaze', 'Flutter Mane', 'Farigiraf', 'Goodra-Hisui', 'Tornadus-Therian']"
40,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,2,1,0,142,99.33333333333333,60,0,0,0,0,0,"['Chien-Pao', 'Dragapult', 'Heatran', 'Farigiraf', 'Rillaboom', 'Urshifu']"
41,1,0,1,0,0,0,1,0,0,0,1,3,1,0,0,2,1,0,1,1,135,100.0,80,0,0,0,0,1,"['Kilowattrel', 'Flutter Mane', 'Gholdengo', 'Dragonite', 'Indeedee-F', 'Landorus-Therian']"
