,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
1,0,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
2,1,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
3,1,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Noivern', 'Donphan', 'Gastrodon', 'Tropius']"
4,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
5,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
6,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
7,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
8,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
9,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['Garganacl', 'Baxcalibur', 'Hatterene', 'Iron Hands', 'Armarouge', 'Indeedee-F']"
10,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
11,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
12,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
13,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
14,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['Palafin', 'Gothitelle', 'Iron Hands', 'Flutter Mane', 'Arcanine', 'Amoonguss']"
15,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['Mimikyu', 'Garganacl', 'Iron Hands', 'Roaring Moon', 'Amoonguss', 'Iron Bundle']"
