,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
3,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
4,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
5,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
6,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
7,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
8,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
9,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['Iron Thorns', 'Flutter Mane', 'Gyarados', 'Amoonguss', 'Chi-Yu', 'Hippowdon']"
10,1,1,2,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,2,109,72.0,43,0,0,0,0,1,"['Weezing-Galar', 'Slaking', 'Farigiraf', 'Vikavolt', 'Empoleon', 'Ninetales-Alola']"
11,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,101,82.0,50,0,0,0,0,0,"['Sableye', 'Landorus', 'Luvdisc', 'Magikarp']"
12,1,1,1,1,1,0,1,1,1,0,1,2,2,0,0,0,0,1,0,0,135,97.0,75,0,0,0,1,1,"['Armarouge', 'Indeedee-F', 'Rotom-Wash', 'Zapdos-Galar', 'Landorus', 'Chien-Pao']"
13,1,1,1,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,119,91.66666666666667,60,0,0,0,0,0,"['Weezing', 'Ogerpon-Wellspring', 'Landorus-Therian', 'Roaring Moon', 'Slaking', 'Sinistcha']"
14,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['Basculegion', 'Politoed', 'Rillaboom', 'Flutter Mane', 'Kingambit', 'Regieleki']"
15,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['Basculegion', 'Politoed', 'Rillaboom', 'Flutter Mane', 'Kingambit', 'Regieleki']"
16,1,0,0,4,0,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,142,103.66666666666667,75,0,0,0,0,0,"['Scovillain', 'Dragapult', 'Cinderace', 'Slither Wing', 'Typhlosion-Hisui', 'Iron Moth']"
17,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['Tornadus', 'Flutter Mane', 'Urshifu', 'Landorus-Therian', 'Regieleki', 'Ogerpon-Hearthflame']"
18,1,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['Weezing', 'Regieleki', 'Ogerpon-Hearthflame', 'Rillaboom', 'Flutter Mane', 'Urshifu']"
19,1,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['Weezing', 'Regieleki', 'Ogerpon-Hearthflame', 'Rillaboom', 'Flutter Mane', 'Urshifu']"
20,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['Tornadus', 'Flutter Mane', 'Urshifu', 'Landorus-Therian', 'Regieleki', 'Ogerpon-Hearthflame']"
21,1,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['Weezing', 'Regieleki', 'Ogerpon-Hearthflame', 'Rillaboom', 'Flutter Mane', 'Urshifu']"
22,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['Tornadus', 'Flutter Mane', 'Urshifu', 'Landorus-Therian', 'Regieleki', 'Ogerpon-Hearthflame']"
