,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['Qwilfish', 'Espeon', 'Farigiraf', 'Polteageist', 'Gholdengo', 'Bronzong']"
1,1,1,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['Qwilfish', 'Espeon', 'Farigiraf', 'Polteageist', 'Gholdengo', 'Bronzong']"
2,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['Qwilfish', 'Espeon', 'Farigiraf', 'Polteageist', 'Gholdengo', 'Bronzong']"
3,1,1,1,0,1,0,0,0,0,1,0,0,3,0,0,2,0,0,2,0,110,73.66666666666667,33,0,0,0,0,0,"['Qwilfish', 'Espeon', 'Farigiraf', 'Polteageist', 'Gholdengo', 'Bronzong']"
4,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
5,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
6,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
7,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
8,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,1,1,136,79.33333333333333,30,0,0,0,0,2,"['Flutter Mane', 'Kingambit', 'Amoonguss', 'Gothitelle', 'Abomasnow', 'Iron Bundle']"
9,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['Mimikyu', 'Garganacl', 'Iron Hands', 'Roaring Moon', 'Amoonguss', 'Iron Bundle']"
10,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
11,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
12,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
13,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
14,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
15,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
16,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,150,99.66666666666667,44,0,0,0,0,0,"['Persian', 'Arcanine', 'Hydreigon', 'Mimikyu', 'Dragalge', 'Electrode']"
17,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
18,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
19,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
20,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
21,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
22,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
23,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
24,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
25,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
26,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
27,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['Palafin', 'Chien-Pao', 'Dragapult', 'Amoonguss', 'Arcanine', 'Flutter Mane']"
