,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,1,1,1,1,0,111,82.0,60,0,0,0,0,1,"['Archaludon', 'Pelipper', 'Sinistcha-Masterpiece', 'Tornadus', 'Landorus', 'Incineroar']"
1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,105,79.5,60,0,0,0,0,0,"['Umbreon', 'Heatran', 'Electabuzz', 'Primarina', 'Articuno', 'Rillaboom']"
2,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,105,79.5,60,0,0,0,0,0,"['Umbreon', 'Heatran', 'Electabuzz', 'Primarina', 'Articuno', 'Rillaboom']"
3,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,2,135,84.16666666666667,45,0,0,0,0,0,"['Alcremie', 'Flutter Mane', 'Gengar', 'Lurantis', 'Oranguru', 'Landorus-Therian']"
4,1,0,0,1,1,2,0,0,1,0,0,1,1,0,1,0,0,2,0,2,124,98.0,60,0,0,0,0,0,"['Iron Boulder', 'Enamorus', 'Whimsicott', 'Incineroar', 'Urshifu', 'Rillaboom']"
5,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,125,82.5,35,0,0,0,0,0,"['Typhlosion', 'Farigiraf', 'Weavile', 'Skarmory', 'Mismagius', 'Quagsire']"
6,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
7,1,1,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
8,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
9,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,2,135,101.0,60,0,0,0,0,0,"['Gouging Fire', 'Rillaboom', 'Incineroar', 'Flutter Mane', 'Whimsicott', 'Roaring Moon']"
11,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,111,77.33333333333333,35,0,0,0,0,0,"['Garganacl', 'Venusaur', 'Typhlosion', 'Feraligatr', 'Maushold-Four', 'Grimmsnarl']"
12,1,1,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
13,1,1,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
14,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,120,106.66666666666667,85,0,0,0,0,1,"['Sceptile', 'Rillaboom', 'Ninetales', 'Walking Wake', 'Tornadus', 'Cinccino']"
15,1,1,0,1,0,0,0,0,1,0,0,1,1,6,0,0,0,0,1,0,100,68.33333333333333,35,0,0,0,0,0,"['Spidops', 'Volcarona', 'Masquerain', 'Scizor', 'Heracross', 'Rabsca']"
16,1,0,0,1,0,1,2,0,0,0,1,2,0,0,1,0,0,0,0,0,111,94.5,85,0,0,0,0,1,"['Plusle', 'Minun', 'Landorus-Therian', 'Arcanine-Hisui', 'Rillaboom', 'Tornadus']"
17,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,2,135,92.33333333333333,60,0,0,0,0,0,"['Whimsicott', 'Flutter Mane', 'Incineroar', 'Landorus-Therian', 'Heatran', 'Raging Bolt']"
