,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
1,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
2,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
3,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
4,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
5,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,115,87.16666666666667,44,0,0,0,0,0,"['hydreigon', 'arcanine', 'mimikyu', 'persian', 'dragalge', 'klefki']"
7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,115,87.16666666666667,44,0,0,0,0,0,"['hydreigon', 'arcanine', 'mimikyu', 'persian', 'dragalge', 'klefki']"
8,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,115,87.16666666666667,44,0,0,0,0,0,"['hydreigon', 'arcanine', 'mimikyu', 'persian', 'dragalge', 'klefki']"
9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,115,87.16666666666667,44,0,0,0,0,0,"['hydreigon', 'arcanine', 'mimikyu', 'persian', 'dragalge', 'klefki']"
10,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
11,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
12,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
13,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
14,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
15,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
16,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
17,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
18,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
19,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
20,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
21,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
22,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
23,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
24,1,0,1,0,1,1,0,2,0,0,1,2,0,0,0,1,1,0,1,0,85,70.66666666666667,55,0,0,0,0,0,"['abomasnow', 'articuno', 'dragonite', 'gholdengo', 'whiscash', 'blissey']"
25,1,0,1,0,1,1,0,2,0,0,1,2,0,0,0,1,1,0,1,0,85,70.66666666666667,55,0,0,0,0,0,"['abomasnow', 'articuno', 'dragonite', 'gholdengo', 'whiscash', 'blissey']"
26,1,0,0,1,2,2,0,0,1,1,0,0,0,0,1,1,0,1,0,2,135,102.66666666666667,85,0,0,0,0,0,"['fezandipiti', 'ogerponwellspring', 'fluttermane', 'urshifu', 'arcaninehisui', 'rillaboom']"
27,1,0,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,135,99.66666666666667,60,0,1,0,0,1,"['rillaboom', 'fluttermane', 'ogerponhearthflame', 'tornadus', 'urshifu', 'weezing']"
28,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,1,1,1,136,86.66666666666667,50,0,0,0,0,0,"['chandelure', 'grimmsnarl', 'ogerponcornerstone', 'ironhands', 'gholdengo', 'ironbundle']"
29,1,0,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,110,74.33333333333333,50,0,0,0,0,0,"['mukalola', 'heatran', 'tinkaton', 'ogerponwellspring', 'dudunsparce', 'oranguru']"
30,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,2,0,0,1,1,135,77.83333333333333,50,0,0,0,0,0,"['cresselia', 'fluttermane', 'ironhands', 'ursaluna', 'sinistcha', 'heatran']"
31,1,0,2,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,110,81.16666666666667,60,0,0,0,1,0,"['ogerponhearthflame', 'urshifu', 'sylveon', 'oranguru', 'armarouge', 'indeedeef']"
32,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,135,86.33333333333333,50,0,0,0,0,1,"['salamence', 'kingambit', 'politoed', 'basculegion', 'rillaboom', 'fluttermane']"
33,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
34,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
35,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
36,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
37,1,0,0,0,2,1,1,0,1,0,1,3,0,0,0,1,0,1,0,1,111,78.16666666666667,60,0,0,0,0,1,"['thundurus', 'chesnaught', 'basculegion', 'pelipper', 'landorustherian', 'grimmsnarl']"
38,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,135,86.33333333333333,30,0,0,0,0,0,"['amoonguss', 'landorustherian', 'ironhands', 'fluttermane', 'heatran', 'chienpao']"
39,1,1,0,2,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,1,100,79.16666666666667,40,0,0,0,0,0,"['taurospaldeaaqua', 'sinistchamasterpiece', 'tinkaton', 'camerupt', 'kommoo', 'rotomheat']"
40,1,1,0,2,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,1,100,79.16666666666667,40,0,0,0,0,0,"['taurospaldeaaqua', 'sinistchamasterpiece', 'tinkaton', 'camerupt', 'kommoo', 'rotomheat']"
41,1,1,0,2,1,1,1,0,2,0,1,0,0,0,0,1,1,0,1,1,100,79.16666666666667,40,0,0,0,0,0,"['taurospaldeaaqua', 'sinistchamasterpiece', 'tinkaton', 'camerupt', 'kommoo', 'rotomheat']"
42,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,101,45.333333333333336,30,0,0,0,0,0,"['spiritomb', 'clefairy', 'avalugghisui', 'bronzong', 'snorlax', 'landorus']"
43,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,101,45.333333333333336,30,0,0,0,0,0,"['spiritomb', 'clefairy', 'avalugghisui', 'bronzong', 'snorlax', 'landorus']"
44,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,3,0,1,98,68.33333333333333,50,0,0,0,0,0,"['sableye', 'breloom', 'ursalunabloodmoon', 'shiftry', 'sylveon', 'hydreigon']"
45,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,3,0,1,98,68.33333333333333,50,0,0,0,0,0,"['sableye', 'breloom', 'ursalunabloodmoon', 'shiftry', 'sylveon', 'hydreigon']"
46,1,0,1,2,1,1,0,0,2,0,0,0,2,0,0,0,1,1,0,0,105,77.0,20,0,0,0,1,0,"['armarouge', 'indeedeef', 'regidrago', 'torkoal', 'lilliganthisui', 'urshifu']"
47,1,0,2,2,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,105,69.16666666666667,20,0,0,0,1,0,"['regidrago', 'indeedeef', 'armarouge', 'ursaluna', 'torkoal', 'lilliganthisui']"
48,1,0,0,1,1,1,0,1,1,0,0,0,0,0,2,1,1,1,0,1,136,98.66666666666667,61,0,0,0,0,0,"['kommoo', 'arcaninehisui', 'rillaboom', 'tyranitar', 'fluttermane', 'ironbundle']"
