,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
1,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
2,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
3,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
4,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
5,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
6,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
7,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
8,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
9,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
10,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
11,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['Urshifu', 'Gothorita', 'Garchomp', 'Kingambit', 'Volcarona', 'Kilowattrel']"
12,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,135,99.66666666666667,60,0,1,0,0,1,"['Rillaboom', 'Flutter Mane', 'Ogerpon-Hearthflame', 'Tornadus', 'Urshifu', 'Weezing']"
13,1,0,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,110,69.5,20,0,0,0,0,1,"['Grimmsnarl', 'Cresselia', 'Torkoal', 'Annihilape', 'Ogerpon-Hearthflame', 'Ursaluna-Bloodmoon']"
14,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,90,65.83333333333333,45,0,0,0,0,1,"['Kingambit', 'Rillaboom', 'Arcanine-Hisui', 'Ting-Lu', 'Clefable', 'Vaporeon']"
15,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['Ogerpon-Wellspring', 'Tauros-Paldea-Blaze', 'Flutter Mane', 'Farigiraf', 'Goodra-Hisui', 'Tornadus-Therian']"
16,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['Ogerpon-Wellspring', 'Tauros-Paldea-Blaze', 'Flutter Mane', 'Farigiraf', 'Goodra-Hisui', 'Tornadus-Therian']"
17,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['Ogerpon-Wellspring', 'Tauros-Paldea-Blaze', 'Flutter Mane', 'Farigiraf', 'Goodra-Hisui', 'Tornadus-Therian']"
18,0,0,2,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,110,81.16666666666667,60,0,0,0,1,0,"['Ogerpon-Hearthflame', 'Urshifu', 'Sylveon', 'Oranguru', 'Armarouge', 'Indeedee-F']"
19,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,1,0,0,0,0,"['Dragonite', 'Chien-Pao', 'Rillaboom', 'Heatran', 'Urshifu', 'Farigiraf']"
20,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,1,0,0,0,0,"['Dragonite', 'Chien-Pao', 'Rillaboom', 'Heatran', 'Urshifu', 'Farigiraf']"
21,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,1,0,0,0,0,"['Dragonite', 'Chien-Pao', 'Rillaboom', 'Heatran', 'Urshifu', 'Farigiraf']"
22,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,1,0,0,0,0,"['Dragonite', 'Chien-Pao', 'Rillaboom', 'Heatran', 'Urshifu', 'Farigiraf']"
23,1,1,0,0,0,0,1,0,1,0,1,2,0,0,0,2,1,1,1,1,135,98.33333333333333,50,0,0,0,0,1,"['Tornadus', 'Flutter Mane', 'Roaring Moon', 'Iron Hands', 'Landorus-Therian', 'Gholdengo']"
24,1,1,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0,1,1,1,135,96.83333333333333,50,0,0,0,0,2,"['Ogerpon-Wellspring', 'Rillaboom', 'Kingambit', 'Arcanine-Hisui', 'Flutter Mane', 'Tornadus']"
25,1,1,1,2,1,1,0,0,2,0,0,0,2,0,0,0,1,1,0,0,105,77.0,20,0,0,0,1,0,"['Armarouge', 'Indeedee-F', 'Regidrago', 'Torkoal', 'Lilligant-Hisui', 'Urshifu']"
26,1,0,0,1,2,0,1,0,0,0,1,3,0,0,0,0,1,1,1,1,110,84.16666666666667,50,0,0,0,0,0,"['Chi-Yu', 'Dugtrio-Alola', 'Azumarill', 'Dragonite', 'Pelipper', 'Zapdos']"
27,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,119,74.66666666666667,30,0,0,0,0,1,"['Roaring Moon', 'Milotic', 'Landorus-Therian', 'Amoonguss', 'Iron Hands', 'Heatran']"
28,0,0,0,1,1,1,0,0,1,1,0,2,1,0,0,1,0,0,0,1,120,76.83333333333333,30,0,0,0,0,0,"['Enamorus-Therian', 'Typhlosion', 'Slowbro', 'Rillaboom', 'Drifblim', 'Sneasler']"
29,1,0,0,1,1,1,0,0,1,1,0,2,1,0,0,1,0,0,0,1,120,76.83333333333333,30,0,0,0,0,0,"['Enamorus-Therian', 'Typhlosion', 'Slowbro', 'Rillaboom', 'Drifblim', 'Sneasler']"
30,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,136,75.16666666666667,35,0,0,0,0,0,"['Iron Hands', 'Moltres-Galar', 'Klefki', 'Mudsdale', 'Iron Bundle', 'Wyrdeer']"
31,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,136,75.16666666666667,35,0,0,0,0,0,"['Iron Hands', 'Moltres-Galar', 'Klefki', 'Mudsdale', 'Iron Bundle', 'Wyrdeer']"
32,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,95,71.5,35,0,0,0,0,0,"['Kommo-o', 'Volbeat', 'Tyranitar', 'Clefairy', 'Houndstone', 'Arcanine']"
33,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,95,71.5,35,0,0,0,0,0,"['Kommo-o', 'Volbeat', 'Tyranitar', 'Clefairy', 'Houndstone', 'Arcanine']"
34,1,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,1,91,60.166666666666664,30,0,0,0,0,0,"['Snorlax', 'Sinistcha', 'Landorus-Therian', 'Iron Hands', 'Clefairy', 'Kommo-o']"
35,1,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,1,91,60.166666666666664,30,0,0,0,0,0,"['Snorlax', 'Sinistcha', 'Landorus-Therian', 'Iron Hands', 'Clefairy', 'Kommo-o']"
36,1,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,1,91,60.166666666666664,30,0,0,0,0,0,"['Snorlax', 'Sinistcha', 'Landorus-Therian', 'Iron Hands', 'Clefairy', 'Kommo-o']"
37,1,0,0,1,1,2,1,0,1,0,0,1,0,0,0,2,0,1,1,1,123,90.33333333333333,50,0,0,0,0,0,"['Meowscarada', 'Ceruledge', 'Drifblim', 'Ogerpon-Wellspring', 'Iron Hands', 'Tinkaton']"
38,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['Ogerpon', 'Okidogi', 'Roaring Moon', 'Azumarill', 'Sandy Shocks', 'Sableye']"
39,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['Ogerpon', 'Okidogi', 'Roaring Moon', 'Azumarill', 'Sandy Shocks', 'Sableye']"
40,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['Ogerpon', 'Okidogi', 'Roaring Moon', 'Azumarill', 'Sandy Shocks', 'Sableye']"
41,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['Ogerpon', 'Okidogi', 'Roaring Moon', 'Azumarill', 'Sandy Shocks', 'Sableye']"
42,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
43,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
44,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
45,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
46,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
47,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['Torterra', 'Jumpluff', 'Iron Hands', 'Rillaboom', 'Ogerpon-Hearthflame', 'Tornadus']"
48,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,1,2,116,83.16666666666667,60,0,0,0,0,0,"['Iron Crown', 'Indeedee-F', 'Regidrago', 'Primarina', 'Incineroar', 'Whimsicott']"
49,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['Articuno-Galar', 'Wyrdeer', 'Annihilape', 'Okidogi', 'Landorus-Therian', 'Clefairy']"
50,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['Articuno-Galar', 'Wyrdeer', 'Annihilape', 'Okidogi', 'Landorus-Therian', 'Clefairy']"
51,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['Articuno-Galar', 'Wyrdeer', 'Annihilape', 'Okidogi', 'Landorus-Therian', 'Clefairy']"
52,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['Articuno-Galar', 'Wyrdeer', 'Annihilape', 'Okidogi', 'Landorus-Therian', 'Clefairy']"
53,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['Incineroar', 'Urshifu', 'Zapdos', 'Sinistcha', 'Snorlax', 'Scream Tail']"
54,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['Incineroar', 'Urshifu', 'Zapdos', 'Sinistcha', 'Snorlax', 'Scream Tail']"
55,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['Incineroar', 'Urshifu', 'Zapdos', 'Sinistcha', 'Snorlax', 'Scream Tail']"
56,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['Incineroar', 'Urshifu', 'Zapdos', 'Sinistcha', 'Snorlax', 'Scream Tail']"
57,0,0,1,1,2,1,0,0,1,0,0,1,3,0,0,0,0,1,1,0,110,91.66666666666667,65,0,0,0,0,0,"['Iron Crown', 'Indeedee', 'Pelipper', 'Cresselia', 'Ogerpon-Hearthflame', 'Urshifu']"
58,1,0,1,1,2,1,0,0,1,0,0,1,3,0,0,0,0,1,1,0,110,91.66666666666667,65,0,0,0,0,0,"['Iron Crown', 'Indeedee', 'Pelipper', 'Cresselia', 'Ogerpon-Hearthflame', 'Urshifu']"
