,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,0,my_party
0,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
1,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['Ursaluna', 'Cresselia', 'Iron Hands', 'Dragonite', 'Flutter Mane', 'Urshifu']"
2,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
3,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['Ursaluna', 'Cresselia', 'Iron Hands', 'Dragonite', 'Flutter Mane', 'Urshifu']"
4,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
5,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['Ursaluna', 'Cresselia', 'Iron Hands', 'Dragonite', 'Flutter Mane', 'Urshifu']"
6,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['Basculegion', 'Amoonguss', 'Arcanine-Hisui', 'Flutter Mane', 'Urshifu', 'Iron Hands']"
7,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['Ursaluna', 'Cresselia', 'Iron Hands', 'Dragonite', 'Flutter Mane', 'Urshifu']"
8,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,1,119,62.666666666666664,20,0,0,0,0,0,"['Basculegion', 'Hatterene', 'Medicham', 'Roaring Moon', 'Torkoal', 'Ursaluna']"
9,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,1,119,62.666666666666664,20,0,0,0,0,0,"['Basculegion', 'Hatterene', 'Medicham', 'Roaring Moon', 'Torkoal', 'Ursaluna']"
