,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
1,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
2,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
3,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
4,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
5,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
6,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
7,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
8,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
9,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
10,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
11,1,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
12,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,135,93.33333333333333,30,0,0,0,0,0,"['amoonguss', 'grimmsnarl', 'chienpao', 'palafin', 'fluttermane', 'taurospaldeablaze']"
13,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,2,0,2,135,93.33333333333333,30,0,0,0,0,0,"['amoonguss', 'grimmsnarl', 'chienpao', 'palafin', 'fluttermane', 'taurospaldeablaze']"
14,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
15,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
16,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
17,1,1,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
18,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
19,0,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,1,110,84.83333333333333,20,0,0,0,0,0,"['clodsire', 'dragonite', 'slaking', 'grafaiai', 'espathra', 'tinkaton']"
20,1,0,2,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,1,1,110,84.83333333333333,20,0,0,0,0,0,"['clodsire', 'dragonite', 'slaking', 'grafaiai', 'espathra', 'tinkaton']"
21,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'grumpig']"
22,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'grumpig']"
23,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'grumpig']"
24,0,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'grumpig']"
25,1,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,117,80.5,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'grumpig']"
