,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
1,1,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
2,1,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
3,1,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
4,0,0,0,0,1,1,1,1,2,1,1,1,0,0,0,1,0,2,0,1,135,89.66666666666667,30,0,0,0,0,0,"['landorustherian', 'urshifu', 'fluttermane', 'chienpao', 'amoonguss', 'ironhands']"
5,0,0,0,0,1,1,1,1,2,1,1,1,0,0,0,1,0,2,0,1,135,89.66666666666667,30,0,0,0,0,0,"['landorustherian', 'urshifu', 'fluttermane', 'chienpao', 'amoonguss', 'ironhands']"
6,1,0,0,2,0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,1,135,79.66666666666667,20,0,0,0,0,0,"['lilliganthisui', 'torkoal', 'heatran', 'ironhands', 'fluttermane', 'landorustherian']"
7,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,2,0,0,2,1,200,102.83333333333333,30,0,0,0,0,0,"['gholdengo', 'regieleki', 'fluttermane', 'heatran', 'landorustherian', 'amoonguss']"
8,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,1,1,1,136,86.66666666666667,50,0,0,0,0,0,"['chandelure', 'grimmsnarl', 'ogerponcornerstone', 'ironhands', 'gholdengo', 'ironbundle']"
9,1,0,1,1,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,85,54.666666666666664,29,0,0,0,1,0,"['indeedeef', 'armarouge', 'hatterene', 'azumarill', 'amoonguss', 'clawitzer']"
10,0,0,1,2,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,110,74.33333333333333,39,0,0,0,0,0,"['gastrodon', 'arcanine', 'ursaluna', 'corviknight', 'cresselia', 'ogerponhearthflame']"
11,0,0,0,1,3,0,0,0,2,0,0,1,0,0,1,0,1,2,0,0,100,73.16666666666667,35,0,0,0,0,0,"['tatsugiri', 'garganacl', 'flamigo', 'dondozo', 'urshifu', 'chiyu']"
