,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
2,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
3,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
4,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
5,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
6,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
7,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
8,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
9,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
10,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
11,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
12,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,0,0,0,0,0,"['dragonite', 'chienpao', 'gholdengo', 'mausholdfour', 'fluttermane', 'ironbundle']"
13,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
14,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,0,0,0,0,0,"['dragonite', 'chienpao', 'gholdengo', 'mausholdfour', 'fluttermane', 'ironbundle']"
15,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
16,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,0,0,0,0,0,"['dragonite', 'chienpao', 'gholdengo', 'mausholdfour', 'fluttermane', 'ironbundle']"
17,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
18,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,0,0,0,0,0,"['dragonite', 'chienpao', 'gholdengo', 'mausholdfour', 'fluttermane', 'ironbundle']"
