,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
1,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
2,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
3,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
4,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
5,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
6,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
7,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
8,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
9,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
10,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
11,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
12,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
13,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
14,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
15,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
16,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
17,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
18,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
19,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
20,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
21,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
22,0,0,0,1,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,1,111,88.66666666666667,65,0,0,0,0,1,"['gothitelle', 'screamtail', 'palafin', 'wochien', 'volcarona', 'glimmora']"
23,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,135,82.0,30,0,0,0,0,0,"['arcanine', 'baxcalibur', 'fluttermane', 'palafin', 'amoonguss', 'tinglu']"
24,1,0,1,0,1,0,0,0,2,2,0,1,0,0,0,0,0,1,0,1,120,87.16666666666667,35,0,1,0,0,1,"['slaking', 'weezing', 'clefairy', 'tornadus', 'urshifu', 'sneasler']"
25,1,1,2,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,2,109,72.0,43,0,0,0,0,1,"['weezinggalar', 'slaking', 'farigiraf', 'vikavolt', 'empoleon', 'ninetalesalola']"
26,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,90,65.83333333333333,45,0,0,0,0,1,"['kingambit', 'rillaboom', 'arcaninehisui', 'tinglu', 'clefable', 'vaporeon']"
27,0,0,1,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,119,91.66666666666667,60,0,0,0,0,0,"['weezing', 'ogerponwellspring', 'landorustherian', 'roaringmoon', 'slaking', 'sinistcha']"
28,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['basculegion', 'politoed', 'rillaboom', 'fluttermane', 'kingambit', 'regieleki']"
29,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['basculegion', 'politoed', 'rillaboom', 'fluttermane', 'kingambit', 'regieleki']"
30,1,0,0,4,0,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,142,103.66666666666667,75,0,0,0,0,0,"['scovillain', 'dragapult', 'cinderace', 'slitherwing', 'typhlosionhisui', 'ironmoth']"
31,0,0,0,1,1,1,0,0,1,0,1,2,1,0,0,1,0,0,1,1,111,98.33333333333333,77,0,0,0,0,2,"['annihilape', 'ogerponwellspring', 'tornadus', 'landorustherian', 'screamtail', 'heatran']"
32,1,0,0,1,2,1,1,0,2,0,0,1,0,0,1,1,0,1,1,0,111,90.33333333333333,50,0,1,0,0,1,"['tornadus', 'arcaninehisui', 'ironhands', 'gholdengo', 'urshifu', 'ogerponwellspring']"
33,0,0,0,0,2,1,0,1,1,0,1,2,0,0,0,2,0,1,1,0,136,103.16666666666667,84,0,1,0,0,1,"['tornadus', 'landorus', 'ironbundle', 'gholdengo', 'brambleghast', 'urshifu']"
34,1,0,0,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,111,94.66666666666667,84,0,1,0,0,1,"['tornadus', 'landorus', 'urshifu', 'rillaboom', 'arcaninehisui', 'gholdengo']"
35,1,1,0,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,111,94.66666666666667,84,0,1,0,0,1,"['tornadus', 'landorus', 'urshifu', 'rillaboom', 'arcaninehisui', 'gholdengo']"
36,1,0,0,0,1,0,1,0,6,0,0,0,1,0,0,1,1,0,0,1,116,86.83333333333333,50,0,0,0,0,1,"['ironhands', 'annihilape', 'kommoo', 'ironvaliant', 'taurospaldeaaqua', 'gallade']"
37,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,135,94.16666666666667,50,0,0,0,0,0,"['weezing', 'fluttermane', 'ogerponwellspring', 'landorustherian', 'roaringmoon', 'ironhands']"
38,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,100,59.166666666666664,30,0,0,0,0,0,"['mudsdale', 'glastrier', 'farigiraf', 'palafin', 'lurantis', 'illumise']"
39,1,0,0,1,1,2,1,0,1,1,1,1,0,0,0,1,0,0,1,1,135,82.16666666666667,30,0,0,0,0,0,"['fluttermane', 'landorustherian', 'heatran', 'ironhands', 'ogerponwellspring', 'amoonguss']"
40,1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1,109,91.5,77,0,0,0,0,1,"['mienshao', 'ninetalesalola', 'baxcalibur', 'milotic', 'moltresgalar', 'heatran']"
41,0,0,0,0,1,2,0,0,1,1,1,1,1,0,0,2,0,0,0,1,135,90.16666666666667,30,0,0,0,0,1,"['annihilape', 'cresselia', 'fluttermane', 'landorustherian', 'amoonguss', 'ogerponwellspring']"
42,0,0,1,0,1,1,2,0,1,0,0,1,1,0,0,0,1,2,1,0,119,81.5,50,0,0,0,0,1,"['zapdos', 'ironhands', 'farigiraf', 'ogerponwellspring', 'roaringmoon', 'kingambit']"
43,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,136,99.5,50,0,0,1,0,0,"['chiyu', 'ironbundle', 'rillaboom', 'landorustherian', 'ironhands', 'fluttermane']"
44,1,0,1,1,2,1,0,1,2,0,0,0,1,0,0,1,0,2,0,0,136,80.33333333333333,25,0,0,0,0,0,"['chesnaught', 'farigiraf', 'urshifu', 'dusclops', 'chiyu', 'ironbundle']"
45,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,3,1,1,111,91.66666666666667,60,0,1,0,0,1,"['tornadus', 'urshifu', 'grimmsnarl', 'hydreigon', 'palafin', 'gholdengo']"
46,0,0,0,1,1,1,1,0,2,1,0,1,0,0,1,1,0,1,1,0,111,77.0,30,0,1,0,0,1,"['arcaninehisui', 'amoonguss', 'tornadus', 'urshifu', 'ironhands', 'gholdengo']"
47,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,1,2,135,80.5,35,0,0,0,0,0,"['ninetalesalola', 'beartic', 'chienpao', 'sinistcha', 'clefairy', 'gholdengo']"
48,1,1,0,1,1,1,1,0,1,1,0,2,0,0,1,0,0,2,0,0,110,81.33333333333333,50,0,0,0,0,0,"['ogerponwellspring', 'eelektross', 'okidogi', 'carkol', 'moltresgalar', 'ironjugulis']"
49,1,1,1,0,1,0,0,0,0,1,2,1,2,0,0,1,0,1,1,0,106,72.66666666666667,45,0,0,0,0,1,"['kingambit', 'landorustherian', 'ursalunabloodmoon', 'dusknoir', 'munkidori', 'bruxish']"
50,1,1,1,0,1,0,0,0,0,1,2,1,2,0,0,1,0,1,1,0,106,72.66666666666667,45,0,0,0,0,1,"['kingambit', 'landorustherian', 'ursalunabloodmoon', 'dusknoir', 'munkidori', 'bruxish']"
51,1,1,1,0,0,0,1,0,1,1,0,0,1,1,2,2,0,0,0,0,110,65.5,35,0,0,0,0,1,"['houndstone', 'rabsca', 'garganacl', 'golemalola', 'annihilape', 'grafaiai']"
52,1,1,2,1,1,0,2,0,0,0,2,0,1,1,1,0,0,0,0,0,101,58.0,20,0,0,0,0,0,"['drednaw', 'sandyshocks', 'torkoal', 'vikavolt', 'oranguru', 'ursaluna']"
53,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,100,77.16666666666667,25,0,0,0,0,0,"['overqwil', 'dusclops', 'goodrahisui', 'zapdos', 'basculinbluestriped', 'dachsbun']"
54,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,1,2,135,80.5,35,0,0,0,0,0,"['ninetalesalola', 'beartic', 'chienpao', 'sinistcha', 'clefairy', 'gholdengo']"
55,1,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,1,0,1,0,130,93.66666666666667,60,0,0,0,0,0,"['goodra', 'landorus', 'jolteon', 'magnezone', 'tornadustherian', 'politoed']"
56,1,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,1,0,1,0,130,93.66666666666667,60,0,0,0,0,0,"['goodra', 'landorus', 'jolteon', 'magnezone', 'tornadustherian', 'politoed']"
57,1,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,1,0,1,0,130,93.66666666666667,60,0,0,0,0,0,"['goodra', 'landorus', 'jolteon', 'magnezone', 'tornadustherian', 'politoed']"
58,1,0,1,1,1,2,1,1,0,0,0,0,1,1,1,0,0,1,0,0,123,81.5,20,0,0,0,0,0,"['ogerponcornerstone', 'meowscarada', 'indeedeef', 'rotomwash', 'torkoal', 'frosmoth']"
59,1,0,1,1,1,2,1,1,0,0,0,0,1,1,1,0,0,1,0,0,123,81.5,20,0,0,0,0,0,"['ogerponcornerstone', 'meowscarada', 'indeedeef', 'rotomwash', 'torkoal', 'frosmoth']"
