,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
1,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
2,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
3,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
4,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
5,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
6,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
7,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
8,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
9,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
10,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
11,1,1,0,0,1,0,0,1,0,1,1,1,2,0,0,1,1,1,0,2,142,93.16666666666667,30,0,0,0,0,0,"['chienpao', 'dragapult', 'landorustherian', 'screamtail', 'azumarill', 'slowbrogalar']"
12,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
13,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
