,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,110,64.66666666666667,40,0,0,0,0,0,"['abomasnow', 'beartic', 'forretress', 'cetitan', 'ursaring', 'raichu']"
1,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,110,64.66666666666667,40,0,0,0,0,0,"['abomasnow', 'beartic', 'forretress', 'cetitan', 'ursaring', 'raichu']"
2,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,110,64.66666666666667,40,0,0,0,0,0,"['abomasnow', 'beartic', 'forretress', 'cetitan', 'ursaring', 'raichu']"
3,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,110,64.66666666666667,40,0,0,0,0,0,"['abomasnow', 'beartic', 'forretress', 'cetitan', 'ursaring', 'raichu']"
4,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,110,64.66666666666667,40,0,0,0,0,0,"['abomasnow', 'beartic', 'forretress', 'cetitan', 'ursaring', 'raichu']"
5,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,110,64.66666666666667,40,0,0,0,0,0,"['abomasnow', 'beartic', 'forretress', 'cetitan', 'ursaring', 'raichu']"
6,1,1,2,1,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,1,85,57.5,39,0,0,0,1,1,"['armarouge', 'indeedeef', 'donphan', 'wigglytuff', 'tropius', 'gastrodon']"
7,1,1,2,1,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,1,85,57.5,39,0,0,0,1,1,"['armarouge', 'indeedeef', 'donphan', 'wigglytuff', 'tropius', 'gastrodon']"
8,1,0,2,1,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,1,85,57.5,39,0,0,0,1,1,"['armarouge', 'indeedeef', 'donphan', 'wigglytuff', 'tropius', 'gastrodon']"
9,1,1,2,1,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,1,85,57.5,39,0,0,0,1,1,"['armarouge', 'indeedeef', 'donphan', 'wigglytuff', 'tropius', 'gastrodon']"
