,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
2,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
3,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
4,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
5,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
6,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
7,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
8,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
9,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
10,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
11,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
12,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
13,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
14,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
15,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
16,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
17,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
18,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
19,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
20,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
21,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
22,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
23,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
24,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
25,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
26,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
27,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,2,1,1,0,1,142,106.16666666666667,30,0,0,0,0,0,"['palafin', 'chienpao', 'dragapult', 'amoonguss', 'arcanine', 'fluttermane']"
