,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['armarouge', 'indeedeef', 'noivern', 'donphan', 'gastrodon', 'tropius']"
1,1,0,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['armarouge', 'indeedeef', 'noivern', 'donphan', 'gastrodon', 'tropius']"
2,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['armarouge', 'indeedeef', 'noivern', 'donphan', 'gastrodon', 'tropius']"
3,1,1,1,1,1,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,123,70.5,39,0,0,0,1,0,"['armarouge', 'indeedeef', 'noivern', 'donphan', 'gastrodon', 'tropius']"
4,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
5,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
6,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
7,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
8,1,1,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
9,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
10,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
11,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
12,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
13,1,1,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
14,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,0,0,0,0,0,"['dragonite', 'chienpao', 'gholdengo', 'mausholdfour', 'fluttermane', 'ironbundle']"
15,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
16,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,1,1,136,113.5,80,0,0,0,0,0,"['dragonite', 'chienpao', 'gholdengo', 'mausholdfour', 'fluttermane', 'ironbundle']"
17,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
