,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
1,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
2,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
3,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
4,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
5,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
6,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
7,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
8,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
9,1,1,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
10,1,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,1,87,60.166666666666664,29,0,0,0,1,0,"['garganacl', 'baxcalibur', 'hatterene', 'ironhands', 'armarouge', 'indeedeef']"
