,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
1,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
2,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
3,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
4,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
5,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
6,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
7,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
8,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
9,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
10,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
11,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
12,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,0,1,106,90.83333333333333,80,0,0,0,0,1,"['murkrow', 'rotomfan', 'gyarados', 'enamorus', 'braviary', 'landorus']"
