,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,1,1,0,1,0,2,135,102.66666666666667,85,0,0,0,0,0,"['fezandipiti', 'ogerponwellspring', 'fluttermane', 'urshifu', 'arcaninehisui', 'rillaboom']"
1,1,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,1,1,1,1,116,92.0,60,0,0,0,0,0,"['landorustherian', 'moltresgalar', 'rillaboom', 'ironvaliant', 'ogerponwellspring', 'goodrahisui']"
2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,200,97.33333333333333,35,0,0,0,0,0,"['regieleki', 'weezing', 'roaringmoon', 'slaking', 'clefairy', 'sinistcha']"
3,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,135,93.5,50,0,0,0,0,1,"['ogerponwellspring', 'ironhands', 'scizor', 'tornadus', 'fluttermane', 'arcaninehisui']"
4,1,0,1,2,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,85,62.833333333333336,20,0,0,0,1,0,"['indeedeef', 'armarouge', 'gallade', 'torkoal', 'dondozo', 'tatsugiri']"
5,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,119,78.5,60,0,0,0,0,0,"['cinderace', 'corviknight', 'toxtricitylowkey', 'grimmsnarl', 'frosmoth', 'quaquaval']"
6,1,1,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,110,69.5,20,0,0,0,0,1,"['grimmsnarl', 'cresselia', 'torkoal', 'annihilape', 'ogerponhearthflame', 'ursalunabloodmoon']"
7,1,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,0,111,94.5,80,0,1,0,0,1,"['tornadus', 'urshifu', 'ogerponhearthflame', 'rillaboom', 'gholdengo', 'regidrago']"
8,1,1,0,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,1,2,136,94.0,51,0,0,0,0,1,"['ironbundle', 'ninetalesalola', 'annihilape', 'tropius', 'heatran', 'dedenne']"
9,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,2,1,0,142,99.33333333333333,60,0,0,0,0,0,"['chienpao', 'dragapult', 'heatran', 'farigiraf', 'rillaboom', 'urshifu']"
10,0,0,0,0,2,1,1,0,1,0,2,2,0,0,0,0,0,1,1,1,111,83.0,39,0,0,0,0,1,"['urshifu', 'rillaboom', 'landorustherian', 'gastrodon', 'thundurus', 'klefki']"
11,1,0,0,1,2,2,0,0,1,0,0,1,0,0,1,1,0,1,1,0,111,96.16666666666667,84,0,1,0,0,1,"['arcaninehisui', 'urshifu', 'rillaboom', 'gholdengo', 'ogerponwellspring', 'tornadus']"
12,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,135,87.16666666666667,35,0,0,1,0,0,"['dondozo', 'glimmora', 'tatsugiri', 'chiyu', 'fluttermane', 'rillaboom']"
13,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,2,1,1,119,75.83333333333333,39,0,0,0,0,1,"['gastrodon', 'heatran', 'ironhands', 'grimmsnarl', 'roaringmoon', 'ogerpon']"
14,1,0,0,1,1,1,0,1,0,1,1,2,0,0,0,0,0,1,1,1,136,80.66666666666667,30,0,0,0,0,0,"['moltresgalar', 'sylveon', 'amoonguss', 'heatran', 'ironbundle', 'landorustherian']"
15,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,2,1,1,135,79.66666666666667,50,0,0,0,0,1,"['ironhands', 'kingambit', 'fluttermane', 'chienpao', 'trevenant', 'ursalunabloodmoon']"
16,1,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,0,"['azumarill', 'decidueyehisui', 'chiyu', 'landorus', 'sableye', 'sinistchamasterpiece']"
