,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,0,2,1,1,1,2,0,0,1,0,0,0,1,1,2,1,0,135,83.66666666666667,50,0,0,0,0,0,"['pelipper', 'urshifu', 'ironhands', 'sinistcha', 'chienpao', 'archaludon']"
1,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,0,2,0,1,1,116,86.83333333333333,56,0,0,0,0,0,"['gougingfire', 'ragingbolt', 'rillaboom', 'torterra', 'whimsicott', 'ironcrown']"
2,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,2,1,1,135,94.33333333333333,50,0,0,0,0,1,"['latias', 'kingambit', 'landorus', 'incineroar', 'fluttermane', 'ogerponwellspring']"
3,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,1,0,2,0,1,135,105.66666666666667,60,0,0,0,0,1,"['ironboulder', 'passimian', 'chienpao', 'incineroar', 'entei', 'fluttermane']"
4,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,105,79.5,60,0,0,0,0,0,"['umbreon', 'heatran', 'electabuzz', 'primarina', 'articuno', 'rillaboom']"
5,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,105,79.5,60,0,0,0,0,0,"['umbreon', 'heatran', 'electabuzz', 'primarina', 'articuno', 'rillaboom']"
6,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,2,135,84.16666666666667,45,0,0,0,0,0,"['alcremie', 'fluttermane', 'gengar', 'lurantis', 'oranguru', 'landorustherian']"
7,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,136,87.83333333333333,60,0,0,0,0,0,"['landorustherian', 'sylveon', 'ironbundle', 'chiyu', 'regidrago', 'farigiraf']"
8,0,0,0,1,2,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,135,96.0,75,0,0,0,0,0,"['ragingbolt', 'fluttermane', 'urshifu', 'landorustherian', 'suicune', 'magmar']"
9,1,0,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,126,88.5,60,0,0,0,0,0,"['regigigas', 'weezing', 'porygonz', 'metagross', 'qwilfishhisui', 'talonflame']"
10,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,2,135,110.83333333333333,70,0,0,0,0,0,"['whimsicott', 'fluttermane', 'walkingwake', 'chienpao', 'metagross', 'entei']"
