,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['dragonite', 'tinkaton', 'espathra', 'kingambit', 'rotom', 'clodsire']"
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['dragonite', 'tinkaton', 'espathra', 'kingambit', 'rotom', 'clodsire']"
2,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['dragonite', 'tinkaton', 'espathra', 'kingambit', 'rotom', 'clodsire']"
3,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,2,1,105,73.33333333333333,20,0,0,0,0,1,"['dragonite', 'tinkaton', 'espathra', 'kingambit', 'rotom', 'clodsire']"
4,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
6,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
7,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
8,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
9,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
10,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'orthworm']"
11,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'orthworm']"
12,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'orthworm']"
13,1,1,0,1,3,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,117,78.0,35,0,0,0,0,0,"['dondozo', 'tatsugiri', 'gengar', 'salazzle', 'clawitzer', 'orthworm']"
14,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,0,1,135,86.66666666666667,30,0,0,0,0,0,"['chienpao', 'amoonguss', 'dragonite', 'arcanine', 'tinglu', 'fluttermane']"
15,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,0,1,135,86.66666666666667,30,0,0,0,0,0,"['chienpao', 'amoonguss', 'dragonite', 'arcanine', 'tinglu', 'fluttermane']"
16,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,0,1,135,86.66666666666667,30,0,0,0,0,0,"['chienpao', 'amoonguss', 'dragonite', 'arcanine', 'tinglu', 'fluttermane']"
17,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,2,0,0,123,83.83333333333333,35,0,0,0,0,0,"['skeledirge', 'meowscarada', 'garganacl', 'rotomwash', 'murkrow', 'garchomp']"
18,1,1,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,135,99.66666666666667,60,0,1,0,0,1,"['rillaboom', 'fluttermane', 'ogerponhearthflame', 'tornadus', 'urshifu', 'weezing']"
19,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,110,74.33333333333333,50,0,0,0,0,0,"['mukalola', 'heatran', 'tinkaton', 'ogerponwellspring', 'dudunsparce', 'oranguru']"
20,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,101,82.0,50,0,0,0,0,0,"['sableye', 'landorus', 'luvdisc', 'magikarp']"
21,1,1,0,1,1,1,0,1,1,0,0,0,0,0,2,1,1,1,0,1,136,98.66666666666667,61,0,0,0,0,0,"['kommoo', 'tyranitar', 'rillaboom', 'fluttermane', 'arcaninehisui', 'ironbundle']"
22,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,2,2,0,0,1,136,102.16666666666667,70,0,0,0,0,0,"['dragonite', 'garchomp', 'fluttermane', 'sinistcha', 'ironbundle', 'arcaninehisui']"
23,0,0,2,2,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,105,69.16666666666667,20,0,0,0,1,0,"['regidrago', 'indeedeef', 'armarouge', 'ursaluna', 'torkoal', 'lilliganthisui']"
24,1,1,2,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,110,81.16666666666667,60,0,0,0,1,0,"['ogerponhearthflame', 'urshifu', 'sylveon', 'oranguru', 'armarouge', 'indeedeef']"
25,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,119,78.5,60,0,0,0,0,0,"['cinderace', 'corviknight', 'toxtricitylowkey', 'grimmsnarl', 'frosmoth', 'quaquaval']"
26,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
