,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
2,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
3,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
4,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
5,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
6,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
7,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
8,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,135,79.16666666666667,30,0,0,0,0,1,"['palafin', 'gothitelle', 'ironhands', 'fluttermane', 'arcanine', 'amoonguss']"
9,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
10,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
11,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
12,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
13,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,136,77.66666666666667,30,0,0,0,0,0,"['mimikyu', 'garganacl', 'ironhands', 'roaringmoon', 'amoonguss', 'ironbundle']"
14,1,0,0,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,136,91.0,30,0,0,0,0,0,"['ironhands', 'fluttermane', 'amoonguss', 'palafin', 'arcanine', 'ironbundle']"
15,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
16,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
17,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
18,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
19,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
20,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,135,101.33333333333333,50,0,0,0,0,0,"['garchomp', 'gholdengo', 'talonflame', 'chienpao', 'maushold', 'ironhands']"
