,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
3,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
4,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,135,77.0,20,0,0,0,0,1,"['lilligant', 'torkoal', 'fluttermane', 'kingambit', 'dragonite', 'greattusk']"
6,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
7,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
8,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
9,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
10,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
11,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
12,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
13,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
14,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
15,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,2,1,1,135,90.16666666666667,45,0,0,0,0,0,"['orthworm', 'tinglu', 'dragonite', 'gyarados', 'fluttermane', 'chienpao']"
