,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
3,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
4,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
5,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
6,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
7,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
8,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
9,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,135,77.5,30,0,0,1,0,0,"['ironthorns', 'fluttermane', 'gyarados', 'amoonguss', 'chiyu', 'hippowdon']"
10,1,1,2,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,2,109,72.0,43,0,0,0,0,1,"['weezinggalar', 'slaking', 'farigiraf', 'vikavolt', 'empoleon', 'ninetalesalola']"
11,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,101,82.0,50,0,0,0,0,0,"['sableye', 'landorus', 'luvdisc', 'magikarp']"
12,1,1,1,1,1,0,1,1,1,0,1,2,2,0,0,0,0,1,0,0,135,97.0,75,0,0,0,1,1,"['armarouge', 'indeedeef', 'rotomwash', 'zapdosgalar', 'landorus', 'chienpao']"
13,1,1,1,0,1,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,119,91.66666666666667,60,0,0,0,0,0,"['weezing', 'ogerponwellspring', 'landorustherian', 'roaringmoon', 'slaking', 'sinistcha']"
14,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['basculegion', 'politoed', 'rillaboom', 'fluttermane', 'kingambit', 'regieleki']"
15,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,200,103.0,50,0,0,0,0,1,"['basculegion', 'politoed', 'rillaboom', 'fluttermane', 'kingambit', 'regieleki']"
16,1,0,0,4,0,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,142,103.66666666666667,75,0,0,0,0,0,"['scovillain', 'dragapult', 'cinderace', 'slitherwing', 'typhlosionhisui', 'ironmoth']"
17,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['tornadus', 'fluttermane', 'urshifu', 'landorustherian', 'regieleki', 'ogerponhearthflame']"
18,1,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['weezing', 'regieleki', 'ogerponhearthflame', 'rillaboom', 'fluttermane', 'urshifu']"
19,1,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['weezing', 'regieleki', 'ogerponhearthflame', 'rillaboom', 'fluttermane', 'urshifu']"
20,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['tornadus', 'fluttermane', 'urshifu', 'landorustherian', 'regieleki', 'ogerponhearthflame']"
21,1,0,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['weezing', 'regieleki', 'ogerponhearthflame', 'rillaboom', 'fluttermane', 'urshifu']"
22,0,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['tornadus', 'fluttermane', 'urshifu', 'landorustherian', 'regieleki', 'ogerponhearthflame']"
23,1,1,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,135,87.16666666666667,35,0,0,1,0,0,"['dondozo', 'glimmora', 'tatsugiri', 'chiyu', 'fluttermane', 'rillaboom']"
24,1,1,0,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,111,94.66666666666667,84,0,1,0,0,1,"['tornadus', 'landorus', 'urshifu', 'rillaboom', 'arcaninehisui', 'gholdengo']"
