,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
2,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
3,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
4,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
5,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
6,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
7,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
8,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
9,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
10,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
11,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,115,87.0,30,0,0,0,0,1,"['annihilape', 'cresselia', 'garchomp', 'volcarona', 'persianalola', 'glastrier']"
12,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,2,0,1,135,108.83333333333333,85,0,1,0,0,1,"['tornadus', 'arcaninehisui', 'urshifu', 'fluttermane', 'rillaboom', 'chienpao']"
13,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,2,0,1,135,108.83333333333333,85,0,1,0,0,1,"['tornadus', 'arcaninehisui', 'urshifu', 'fluttermane', 'rillaboom', 'chienpao']"
14,0,0,0,1,2,2,0,0,1,1,0,0,0,0,1,1,0,1,0,2,135,102.66666666666667,85,0,0,0,0,0,"['fezandipiti', 'ogerponwellspring', 'fluttermane', 'urshifu', 'arcaninehisui', 'rillaboom']"
15,1,1,0,1,1,2,1,0,1,0,0,1,1,0,0,1,1,1,1,0,110,83.33333333333333,50,0,0,0,0,1,"['ironhands', 'sinistcha', 'articunogalar', 'heatran', 'hydreigon', 'ogerponwellspring']"
16,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,200,97.33333333333333,35,0,0,0,0,0,"['regieleki', 'weezing', 'roaringmoon', 'slaking', 'clefairy', 'sinistcha']"
17,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,135,93.5,50,0,0,0,0,1,"['ogerponwellspring', 'ironhands', 'scizor', 'tornadus', 'fluttermane', 'arcaninehisui']"
18,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,2,0,1,1,1,136,86.66666666666667,50,0,0,0,0,0,"['chandelure', 'grimmsnarl', 'ogerponcornerstone', 'ironhands', 'gholdengo', 'ironbundle']"
