,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,2,2,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,105,69.16666666666667,20,0,0,0,1,0,"['regidrago', 'indeedeef', 'armarouge', 'ursaluna', 'torkoal', 'lilliganthisui']"
1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,2,0,0,1,1,135,77.83333333333333,50,0,0,0,0,0,"['cresselia', 'fluttermane', 'ironhands', 'ursaluna', 'sinistcha', 'heatran']"
2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,90,65.83333333333333,45,0,0,0,0,1,"['kingambit', 'rillaboom', 'arcaninehisui', 'tinglu', 'clefable', 'vaporeon']"
3,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,135,86.33333333333333,30,0,0,0,0,0,"['amoonguss', 'landorustherian', 'ironhands', 'fluttermane', 'heatran', 'chienpao']"
4,1,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,1,2,0,0,119,90.33333333333333,50,0,0,0,0,0,"['arcaninehisui', 'ironhands', 'landorus', 'rillaboom', 'roaringmoon', 'urshifu']"
5,1,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,1,2,0,0,119,90.33333333333333,50,0,0,0,0,0,"['arcaninehisui', 'ironhands', 'landorus', 'rillaboom', 'roaringmoon', 'urshifu']"
6,1,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,1,2,0,0,119,90.33333333333333,50,0,0,0,0,0,"['arcaninehisui', 'ironhands', 'landorus', 'rillaboom', 'roaringmoon', 'urshifu']"
7,0,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,1,2,0,0,119,90.33333333333333,50,0,0,0,0,0,"['arcaninehisui', 'ironhands', 'landorus', 'rillaboom', 'roaringmoon', 'urshifu']"
8,0,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,1,2,0,0,119,90.33333333333333,50,0,0,0,0,0,"['arcaninehisui', 'ironhands', 'landorus', 'rillaboom', 'roaringmoon', 'urshifu']"
9,1,0,0,1,1,1,1,0,2,0,1,1,0,0,1,0,1,2,0,0,119,90.33333333333333,50,0,0,0,0,0,"['arcaninehisui', 'ironhands', 'landorus', 'rillaboom', 'roaringmoon', 'urshifu']"
10,1,0,2,2,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,105,69.16666666666667,20,0,0,0,1,0,"['regidrago', 'indeedeef', 'armarouge', 'ursaluna', 'torkoal', 'lilliganthisui']"
11,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,135,86.33333333333333,30,0,0,0,0,0,"['amoonguss', 'landorustherian', 'ironhands', 'fluttermane', 'heatran', 'chienpao']"
12,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,2,1,0,119,86.83333333333333,30,0,0,0,0,0,"['arcaninehisui', 'urshifu', 'landorus', 'amoonguss', 'roaringmoon', 'gholdengo']"
13,1,0,2,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,85,64.66666666666667,50,0,0,0,0,2,"['kingambit', 'stantler', 'ironhands', 'milotic', 'sinistchamasterpiece', 'ursalunabloodmoon']"
14,1,0,1,0,1,2,0,0,1,0,1,0,1,0,0,3,0,0,0,1,135,90.33333333333333,52,0,0,0,0,1,"['sinistcha', 'cresselia', 'ursalunabloodmoon', 'annihilape', 'fluttermane', 'ogerponwellspring']"
15,0,0,0,1,1,1,0,0,1,0,1,2,0,0,1,1,0,1,0,1,135,103.16666666666667,85,0,1,0,0,1,"['rillaboom', 'urshifu', 'tornadus', 'fluttermane', 'landorus', 'arcaninehisui']"
16,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,3,0,1,1,1,135,103.0,84,0,1,0,0,1,"['brambleghast', 'gholdengo', 'fluttermane', 'tornadus', 'urshifu', 'landorus']"
17,0,0,1,0,1,2,0,0,1,0,1,0,1,0,0,3,0,0,0,1,135,90.33333333333333,52,0,0,0,0,1,"['sinistcha', 'cresselia', 'ursalunabloodmoon', 'annihilape', 'fluttermane', 'ogerponwellspring']"
