,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,2,1,0,0,119,83.16666666666667,60,0,0,0,0,0,"['salamence', 'weezing', 'sinistchamasterpiece', 'stonjourner', 'roaringmoon', 'glalie']"
1,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,1,135,79.66666666666667,20,0,0,0,0,0,"['lilliganthisui', 'torkoal', 'heatran', 'ironhands', 'fluttermane', 'landorustherian']"
2,1,0,0,1,1,2,1,0,1,0,0,1,1,0,0,1,1,1,1,0,110,83.33333333333333,50,0,0,0,0,1,"['ironhands', 'sinistcha', 'articunogalar', 'heatran', 'hydreigon', 'ogerponwellspring']"
3,0,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,1,1,1,1,116,92.0,60,0,0,0,0,0,"['landorustherian', 'moltresgalar', 'rillaboom', 'ironvaliant', 'ogerponwellspring', 'goodrahisui']"
4,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,0,0,2,1,200,102.83333333333333,30,0,0,0,0,0,"['gholdengo', 'regieleki', 'fluttermane', 'heatran', 'landorustherian', 'amoonguss']"
5,0,0,1,2,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,85,62.833333333333336,20,0,0,0,1,0,"['indeedeef', 'armarouge', 'gallade', 'torkoal', 'dondozo', 'tatsugiri']"
6,0,0,0,1,1,1,1,0,1,1,0,1,0,2,0,0,1,1,1,0,97,66.33333333333333,30,0,0,0,0,0,"['regidrago', 'amoonguss', 'moltres', 'urshifu', 'charjabug', 'scizor']"
7,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,0,"['amoonguss', 'ursaluna', 'ironbundle', 'regidrago', 'cresselia', 'ironhands']"
8,1,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,1,1,0,1,111,71.33333333333333,35,0,0,0,0,1,"['dondozo', 'flamigo', 'tatsugiri', 'gothitelle', 'tinglu', 'screamtail']"
9,1,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,0,"['azumarill', 'decidueyehisui', 'chiyu', 'landorus', 'sableye', 'sinistchamasterpiece']"
10,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,2,1,0,119,90.33333333333333,45,0,0,0,0,1,"['tinglu', 'okidogi', 'roaringmoon', 'heatran', 'ogerponwellspring', 'thundurus']"
11,0,0,0,1,2,2,0,0,1,0,0,1,0,0,1,1,0,1,1,0,111,96.16666666666667,84,0,1,0,0,1,"['arcaninehisui', 'urshifu', 'rillaboom', 'gholdengo', 'ogerponwellspring', 'tornadus']"
12,1,0,0,1,2,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,135,87.16666666666667,35,0,0,1,0,0,"['dondozo', 'glimmora', 'tatsugiri', 'chiyu', 'fluttermane', 'rillaboom']"
13,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,0,"['amoonguss', 'ursaluna', 'ironbundle', 'regidrago', 'cresselia', 'ironhands']"
14,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,136,71.83333333333333,30,0,0,0,0,0,"['amoonguss', 'ursaluna', 'ironbundle', 'regidrago', 'cresselia', 'ironhands']"
15,0,0,1,1,2,1,0,2,1,0,0,0,1,0,0,0,0,2,0,1,136,97.83333333333333,60,0,0,0,0,0,"['ninetalesalola', 'ironbundle', 'rillaboom', 'urshifu', 'farigiraf', 'chiyu']"
16,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,2,0,2,1,1,135,79.66666666666667,50,0,0,0,0,1,"['ironhands', 'kingambit', 'fluttermane', 'chienpao', 'trevenant', 'ursalunabloodmoon']"
17,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,2,135,104.0,85,0,0,0,0,0,"['rotomwash', 'arcaninehisui', 'ninetalesalola', 'rillaboom', 'fluttermane', 'roaringmoon']"
18,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,135,86.33333333333333,50,0,0,0,0,1,"['salamence', 'kingambit', 'politoed', 'basculegion', 'rillaboom', 'fluttermane']"
19,1,1,1,1,1,1,0,0,1,0,2,1,0,0,0,2,0,3,0,0,101,78.33333333333333,50,0,0,0,0,0,"['chiyu', 'landorus', 'sableye', 'sinistchamasterpiece', 'urshifu', 'ursalunabloodmoon']"
20,0,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,0,"['azumarill', 'decidueyehisui', 'chiyu', 'landorus', 'sableye', 'sinistchamasterpiece']"
21,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1,109,91.5,77,0,0,0,0,1,"['mienshao', 'ninetalesalola', 'baxcalibur', 'milotic', 'moltresgalar', 'heatran']"
22,1,1,0,1,0,0,1,1,1,0,0,1,2,1,0,1,0,1,1,0,135,85.0,50,0,0,0,0,1,"['scizor', 'ironhands', 'chandelure', 'chienpao', 'cresselia', 'articunogalar']"
23,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
24,1,0,0,2,0,1,1,0,1,1,0,0,0,0,1,2,0,1,0,2,135,90.66666666666667,50,0,0,1,0,0,"['fluttermane', 'sinistchamasterpiece', 'arcaninehisui', 'fezandipiti', 'chiyu', 'ironhands']"
25,1,1,0,1,2,0,0,0,1,0,0,0,2,0,0,1,0,1,1,2,111,87.0,65,0,0,0,0,1,"['gothitelle', 'politoed', 'urshifu', 'screamtail', 'tinkaton', 'ceruledge']"
26,1,0,0,1,1,0,1,1,2,0,0,1,0,0,1,1,0,2,0,1,135,103.0,50,0,1,0,0,1,"['urshifu', 'ironhands', 'tornadus', 'arcaninehisui', 'fluttermane', 'chienpao']"
27,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,136,99.5,50,0,0,1,0,0,"['chiyu', 'ironbundle', 'rillaboom', 'landorustherian', 'ironhands', 'fluttermane']"
28,0,0,1,0,2,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,142,90.5,65,0,0,0,0,1,"['milotic', 'flamigo', 'medicham', 'dragapult', 'golduck', 'komala']"
29,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,2,1,0,135,82.66666666666667,50,0,0,0,0,1,"['volcarona', 'kingambit', 'ironhands', 'sinistchamasterpiece', 'landorustherian', 'chienpao']"
30,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,1,135,85.0,30,0,0,0,0,1,"['fluttermane', 'ironhands', 'pachirisu', 'milotic', 'amoonguss', 'roaringmoon']"
31,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,1,135,85.0,30,0,0,0,0,1,"['fluttermane', 'ironhands', 'pachirisu', 'milotic', 'amoonguss', 'roaringmoon']"
32,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,1,135,85.0,30,0,0,0,0,1,"['fluttermane', 'ironhands', 'pachirisu', 'milotic', 'amoonguss', 'roaringmoon']"
33,1,1,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ironhands', 'fluttermane', 'cresselia', 'ursaluna', 'urshifu', 'dragonite']"
