,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,1,1,1,1,0,111,82.0,60,0,0,0,0,1,"['archaludon', 'pelipper', 'sinistchamasterpiece', 'tornadus', 'landorus', 'incineroar']"
1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,105,79.5,60,0,0,0,0,0,"['umbreon', 'heatran', 'electabuzz', 'primarina', 'articuno', 'rillaboom']"
2,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,105,79.5,60,0,0,0,0,0,"['umbreon', 'heatran', 'electabuzz', 'primarina', 'articuno', 'rillaboom']"
3,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,2,135,84.16666666666667,45,0,0,0,0,0,"['alcremie', 'fluttermane', 'gengar', 'lurantis', 'oranguru', 'landorustherian']"
4,1,0,0,1,1,2,0,0,1,0,0,1,1,0,1,0,0,2,0,2,124,98.0,60,0,0,0,0,0,"['ironboulder', 'enamorus', 'whimsicott', 'incineroar', 'urshifu', 'rillaboom']"
5,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,125,82.5,35,0,0,0,0,0,"['typhlosion', 'farigiraf', 'weavile', 'skarmory', 'mismagius', 'quagsire']"
6,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
7,1,1,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
8,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
9,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
10,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,2,135,101.0,60,0,0,0,0,0,"['gougingfire', 'rillaboom', 'incineroar', 'fluttermane', 'whimsicott', 'roaringmoon']"
11,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,111,77.33333333333333,35,0,0,0,0,0,"['garganacl', 'venusaur', 'typhlosion', 'feraligatr', 'mausholdfour', 'grimmsnarl']"
12,1,1,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
13,1,1,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
14,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,120,106.66666666666667,85,0,0,0,0,1,"['sceptile', 'rillaboom', 'ninetales', 'walkingwake', 'tornadus', 'cinccino']"
15,1,1,0,1,0,0,0,0,1,0,0,1,1,6,0,0,0,0,1,0,100,68.33333333333333,35,0,0,0,0,0,"['spidops', 'volcarona', 'masquerain', 'scizor', 'heracross', 'rabsca']"
16,1,0,0,1,0,1,2,0,0,0,1,2,0,0,1,0,0,0,0,0,111,94.5,85,0,0,0,0,1,"['plusle', 'minun', 'landorustherian', 'arcaninehisui', 'rillaboom', 'tornadus']"
17,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,2,135,92.33333333333333,60,0,0,0,0,0,"['whimsicott', 'fluttermane', 'incineroar', 'landorustherian', 'heatran', 'ragingbolt']"
18,1,0,0,1,1,1,1,0,0,0,1,1,2,0,0,0,2,1,1,0,110,86.0,60,0,0,0,0,0,"['metagross', 'latias', 'incineroar', 'ragingbolt', 'landorustherian', 'ogerponwellspring']"
