,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
1,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
2,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
3,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
4,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
5,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
6,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
7,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
8,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
9,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
10,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
11,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
12,1,0,0,1,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,136,91.0,30,0,0,0,0,0,"['ironhands', 'fluttermane', 'amoonguss', 'palafin', 'arcanine', 'ironbundle']"
13,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
14,0,0,1,1,0,1,1,0,2,1,1,0,1,0,0,0,0,1,1,0,87,49.5,20,0,0,0,0,1,"['greattusk', 'oranguru', 'ironhands', 'torkoal', 'kingambit', 'amoonguss']"
15,1,1,1,0,1,0,0,0,2,2,0,1,0,0,0,0,0,1,0,1,120,87.16666666666667,35,0,1,0,0,1,"['slaking', 'weezing', 'clefairy', 'tornadus', 'urshifu', 'sneasler']"
16,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,2,0,1,1,1,135,104.16666666666667,50,0,0,0,0,1,"['ogerponwellspring', 'ironhands', 'tornadus', 'gholdengo', 'fluttermane', 'chienpao']"
17,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,2,0,0,2,1,200,102.83333333333333,30,0,0,0,0,0,"['gholdengo', 'regieleki', 'fluttermane', 'heatran', 'landorustherian', 'amoonguss']"
18,0,0,0,1,1,2,0,0,1,0,1,1,0,0,0,2,0,2,0,1,101,71.83333333333333,50,0,0,0,0,0,"['azumarill', 'decidueyehisui', 'chiyu', 'landorus', 'sableye', 'sinistchamasterpiece']"
19,1,1,0,1,2,2,0,0,1,0,0,1,0,0,1,1,0,1,1,0,111,96.16666666666667,84,0,1,0,0,1,"['arcaninehisui', 'urshifu', 'rillaboom', 'gholdengo', 'ogerponwellspring', 'tornadus']"
20,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,110,90.66666666666667,50,0,0,0,0,0,"['ironhands', 'hydreigon', 'espathra', 'zoroarkhisui', 'glimmora', 'gliscor']"
21,1,1,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['tornadus', 'fluttermane', 'urshifu', 'landorustherian', 'regieleki', 'ogerponhearthflame']"
22,1,1,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['weezing', 'regieleki', 'ogerponhearthflame', 'rillaboom', 'fluttermane', 'urshifu']"
23,1,1,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['weezing', 'regieleki', 'ogerponhearthflame', 'rillaboom', 'fluttermane', 'urshifu']"
24,1,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['tornadus', 'fluttermane', 'urshifu', 'landorustherian', 'regieleki', 'ogerponhearthflame']"
25,1,1,0,1,1,2,1,0,1,1,0,0,0,0,0,1,0,1,0,1,200,114.5,60,0,0,0,0,0,"['weezing', 'regieleki', 'ogerponhearthflame', 'rillaboom', 'fluttermane', 'urshifu']"
26,1,0,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0,1,0,1,200,124.0,91,0,1,0,0,1,"['tornadus', 'fluttermane', 'urshifu', 'landorustherian', 'regieleki', 'ogerponhearthflame']"
27,1,0,0,1,1,1,0,1,0,1,1,2,0,0,0,0,0,1,1,1,136,80.66666666666667,30,0,0,0,0,0,"['moltresgalar', 'sylveon', 'amoonguss', 'heatran', 'ironbundle', 'landorustherian']"
28,1,1,0,1,2,0,0,1,1,0,0,1,0,0,0,0,2,2,1,0,135,81.66666666666667,35,0,0,0,0,1,"['infernape', 'dondozo', 'tatsugiri', 'dragonite', 'chienpao', 'kingambit']"
29,1,1,0,0,2,2,1,0,1,1,1,3,0,0,0,0,0,1,0,0,111,90.0,30,0,1,0,0,1,"['tornadus', 'amoonguss', 'thundurustherian', 'urshifu', 'ogerponwellspring', 'landorustherian']"
30,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,1,1,1,0,1,136,106.83333333333333,70,0,0,0,0,1,"['chienpao', 'ninetalesalola', 'dragonite', 'ironbundle', 'tornadus', 'sinistcha']"
31,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,3,135,78.5,35,0,0,0,0,0,"['grimmsnarl', 'palafin', 'clefairy', 'ironhands', 'fluttermane', 'landorustherian']"
32,1,0,1,1,1,1,0,0,1,0,2,1,0,0,0,2,0,3,0,0,101,78.33333333333333,50,0,0,0,0,0,"['chiyu', 'landorus', 'sableye', 'sinistchamasterpiece', 'urshifu', 'ursalunabloodmoon']"
33,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
