,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
1,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
2,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
3,0,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
4,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
5,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
6,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
7,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
8,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
9,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
10,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
11,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,2,1,0,125,88.16666666666667,50,0,0,0,0,3,"['urshifu', 'gothorita', 'garchomp', 'kingambit', 'volcarona', 'kilowattrel']"
12,0,0,0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,1,135,99.66666666666667,60,0,1,0,0,1,"['rillaboom', 'fluttermane', 'ogerponhearthflame', 'tornadus', 'urshifu', 'weezing']"
13,1,0,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,110,69.5,20,0,0,0,0,1,"['grimmsnarl', 'cresselia', 'torkoal', 'annihilape', 'ogerponhearthflame', 'ursalunabloodmoon']"
14,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,1,90,65.83333333333333,45,0,0,0,0,1,"['kingambit', 'rillaboom', 'arcaninehisui', 'tinglu', 'clefable', 'vaporeon']"
15,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['ogerponwellspring', 'taurospaldeablaze', 'fluttermane', 'farigiraf', 'goodrahisui', 'tornadustherian']"
16,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['ogerponwellspring', 'taurospaldeablaze', 'fluttermane', 'farigiraf', 'goodrahisui', 'tornadustherian']"
17,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,135,97.66666666666667,60,0,0,0,0,0,"['ogerponwellspring', 'taurospaldeablaze', 'fluttermane', 'farigiraf', 'goodrahisui', 'tornadustherian']"
18,0,0,2,2,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,110,81.16666666666667,60,0,0,0,1,0,"['ogerponhearthflame', 'urshifu', 'sylveon', 'oranguru', 'armarouge', 'indeedeef']"
19,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
20,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
21,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
22,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,2,1,0,135,89.0,60,0,0,0,0,0,"['dragonite', 'chienpao', 'rillaboom', 'heatran', 'urshifu', 'farigiraf']"
23,1,1,0,0,0,0,1,0,1,0,1,2,0,0,0,2,1,1,1,1,135,98.33333333333333,50,0,0,0,0,1,"['tornadus', 'fluttermane', 'roaringmoon', 'ironhands', 'landorustherian', 'gholdengo']"
24,1,1,0,1,1,2,0,0,0,0,0,1,0,0,1,1,0,1,1,1,135,96.83333333333333,50,0,0,0,0,2,"['ogerponwellspring', 'rillaboom', 'kingambit', 'arcaninehisui', 'fluttermane', 'tornadus']"
25,1,1,1,2,1,1,0,0,2,0,0,0,2,0,0,0,1,1,0,0,105,77.0,20,0,0,0,1,0,"['armarouge', 'indeedeef', 'regidrago', 'torkoal', 'lilliganthisui', 'urshifu']"
26,1,0,0,1,2,0,1,0,0,0,1,3,0,0,0,0,1,1,1,1,110,84.16666666666667,50,0,0,0,0,0,"['chiyu', 'dugtrioalola', 'azumarill', 'dragonite', 'pelipper', 'zapdos']"
27,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,119,74.66666666666667,30,0,0,0,0,1,"['roaringmoon', 'milotic', 'landorustherian', 'amoonguss', 'ironhands', 'heatran']"
28,0,0,0,1,1,1,0,0,1,1,0,2,1,0,0,1,0,0,0,1,120,76.83333333333333,30,0,0,0,0,0,"['enamorustherian', 'typhlosion', 'slowbro', 'rillaboom', 'drifblim', 'sneasler']"
29,1,0,0,1,1,1,0,0,1,1,0,2,1,0,0,1,0,0,0,1,120,76.83333333333333,30,0,0,0,0,0,"['enamorustherian', 'typhlosion', 'slowbro', 'rillaboom', 'drifblim', 'sneasler']"
30,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,136,75.16666666666667,35,0,0,0,0,0,"['ironhands', 'moltresgalar', 'klefki', 'mudsdale', 'ironbundle', 'wyrdeer']"
31,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,136,75.16666666666667,35,0,0,0,0,0,"['ironhands', 'moltresgalar', 'klefki', 'mudsdale', 'ironbundle', 'wyrdeer']"
32,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,95,71.5,35,0,0,0,0,0,"['kommoo', 'volbeat', 'tyranitar', 'clefairy', 'houndstone', 'arcanine']"
33,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,95,71.5,35,0,0,0,0,0,"['kommoo', 'volbeat', 'tyranitar', 'clefairy', 'houndstone', 'arcanine']"
34,1,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,1,91,60.166666666666664,30,0,0,0,0,0,"['snorlax', 'sinistcha', 'landorustherian', 'ironhands', 'clefairy', 'kommoo']"
35,1,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,1,91,60.166666666666664,30,0,0,0,0,0,"['snorlax', 'sinistcha', 'landorustherian', 'ironhands', 'clefairy', 'kommoo']"
36,1,1,1,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,1,91,60.166666666666664,30,0,0,0,0,0,"['snorlax', 'sinistcha', 'landorustherian', 'ironhands', 'clefairy', 'kommoo']"
37,1,0,0,1,1,2,1,0,1,0,0,1,0,0,0,2,0,1,1,1,123,90.33333333333333,50,0,0,0,0,0,"['meowscarada', 'ceruledge', 'drifblim', 'ogerponwellspring', 'ironhands', 'tinkaton']"
38,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['ogerpon', 'okidogi', 'roaringmoon', 'azumarill', 'sandyshocks', 'sableye']"
39,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['ogerpon', 'okidogi', 'roaringmoon', 'azumarill', 'sandyshocks', 'sableye']"
40,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['ogerpon', 'okidogi', 'roaringmoon', 'azumarill', 'sandyshocks', 'sableye']"
41,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,2,0,1,119,85.0,50,0,0,0,0,1,"['ogerpon', 'okidogi', 'roaringmoon', 'azumarill', 'sandyshocks', 'sableye']"
42,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
43,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
44,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
45,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
46,0,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
47,1,0,0,1,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,0,111,87.0,50,0,0,0,0,1,"['torterra', 'jumpluff', 'ironhands', 'rillaboom', 'ogerponhearthflame', 'tornadus']"
48,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,1,1,1,2,116,83.16666666666667,60,0,0,0,0,0,"['ironcrown', 'indeedeef', 'regidrago', 'primarina', 'incineroar', 'whimsicott']"
49,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['articunogalar', 'wyrdeer', 'annihilape', 'okidogi', 'landorustherian', 'clefairy']"
50,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['articunogalar', 'wyrdeer', 'annihilape', 'okidogi', 'landorustherian', 'clefairy']"
51,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['articunogalar', 'wyrdeer', 'annihilape', 'okidogi', 'landorustherian', 'clefairy']"
52,0,0,1,0,0,0,0,0,2,1,1,2,2,0,0,1,0,0,0,1,95,76.0,35,0,0,0,0,2,"['articunogalar', 'wyrdeer', 'annihilape', 'okidogi', 'landorustherian', 'clefairy']"
53,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['incineroar', 'urshifu', 'zapdos', 'sinistcha', 'snorlax', 'screamtail']"
54,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['incineroar', 'urshifu', 'zapdos', 'sinistcha', 'snorlax', 'screamtail']"
55,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['incineroar', 'urshifu', 'zapdos', 'sinistcha', 'snorlax', 'screamtail']"
56,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,2,0,1,111,78.0,30,0,0,0,0,0,"['incineroar', 'urshifu', 'zapdos', 'sinistcha', 'snorlax', 'screamtail']"
57,0,0,1,1,2,1,0,0,1,0,0,1,3,0,0,0,0,1,1,0,110,91.66666666666667,65,0,0,0,0,0,"['ironcrown', 'indeedee', 'pelipper', 'cresselia', 'ogerponhearthflame', 'urshifu']"
58,1,0,1,1,2,1,0,0,1,0,0,1,3,0,0,0,0,1,1,0,110,91.66666666666667,65,0,0,0,0,0,"['ironcrown', 'indeedee', 'pelipper', 'cresselia', 'ogerponhearthflame', 'urshifu']"
