,picked,start_pick,Normal,Fire,Water,Grass,Electric,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,max_speed,mean_speed,min_speed,ChienPao_Dragonite,Tornadus_Urshifu,FlutterMane_ChiYu,Indeedee_Armarouge,competitive_defiant,my_party
0,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
1,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
2,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
3,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
4,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
5,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
6,1,0,0,1,2,1,1,0,2,1,0,0,0,0,1,2,0,1,0,1,135,80.0,30,0,0,0,0,0,"['basculegion', 'amoonguss', 'arcaninehisui', 'fluttermane', 'urshifu', 'ironhands']"
7,0,0,1,0,1,0,1,0,2,0,1,1,1,0,0,1,1,1,0,1,135,82.83333333333333,50,0,0,0,0,0,"['ursaluna', 'cresselia', 'ironhands', 'dragonite', 'fluttermane', 'urshifu']"
8,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,1,119,62.666666666666664,20,0,0,0,0,0,"['basculegion', 'hatterene', 'medicham', 'roaringmoon', 'torkoal', 'ursaluna']"
9,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,1,119,62.666666666666664,20,0,0,0,0,0,"['basculegion', 'hatterene', 'medicham', 'roaringmoon', 'torkoal', 'ursaluna']"
10,1,1,1,1,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,1,119,62.666666666666664,20,0,0,0,0,0,"['basculegion', 'hatterene', 'medicham', 'roaringmoon', 'torkoal', 'ursaluna']"
